date,instrument,primary_signal,label,t1,barrier_hit,ret,uniqueness_weight,vol_5d,vol_21d,vol_63d,ewma_vol_50,vol_ratio_5_63,vol_of_vol_63,semivol_21d,mom_5d,mom_21d,mom_63d,ma_dist_21d,ma_dist_63d,ma21_slope,autocorr_21d,efficiency_ratio_21d,variance_ratio_5d_21w,parkinson_vol_21d,garman_klass_vol_21d,rogers_satchell_vol_21d,trend_tval_10d,trend_tval_21d,trend_tval_42d,hurst_100d,volume_z_63d,volume_trend_21d,oi_trend_21d,amihud_illiq_21d,hl_range_21d,z_vol_5d,z_vol_21d,z_vol_63d,z_ewma_vol_50,z_vol_of_vol_63,z_semivol_21d,z_mom_5d,z_mom_21d,z_mom_63d,z_ma_dist_21d,z_ma_dist_63d,z_ma21_slope,z_parkinson_vol_21d,z_garman_klass_vol_21d,z_rogers_satchell_vol_21d,z_volume_z_63d,z_volume_trend_21d,z_oi_trend_21d,z_amihud_illiq_21d,z_hl_range_21d,side_signal,signal_run_len,days_since_flip,net_signal_equity,net_signal_metals,net_signal_energy,month_sin,month_cos,dow_sin,dow_cos,cross_sec_mom_rank_21d,cross_sec_vol_rank_21d,corr_to_sector_63d,avg_cross_asset_corr_63d,signal_breadth_full,signal_consensus_pct,trend_persistence,vol_clustering_21d,recent_shock_z,hmm_state_lo,hmm_state_mid,hmm_state_hi,hmm_state_argmax,gmm_cluster_lo,gmm_cluster_mid,gmm_cluster_hi,gmm_cluster_argmax,period
2020-01-06,nq1s,-1,0.000000,2020-01-13,sl,-0.026847,1.789279,0.154563,0.092732,0.103970,0.110492,1.486603,0.035488,0.039914,0.007288,0.060960,0.126727,0.916477,1.207400,0.494773,-0.350918,0.573741,0.364610,0.102073,0.103917,0.102010,3.206044,15.962816,15.287580,0.474551,1.110005,0.006199,0.002773,0.000000,0.000115,-0.343463,-0.864002,-0.885082,-0.843667,-0.365563,-0.979354,0.175301,0.802191,0.892670,1.398345,1.887480,1.851684,-0.882553,-0.891475,-0.909819,0.931903,0.149710,0.120788,-0.180818,-0.588861,-1.000000,1.000000,0.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,1.000000,0.666667,0.886966,0.130112,0.454545,0.000000,0.000000,-0.133260,0.854233,0.999956,0.000044,0.000000,0.000000,0.964713,0.034211,0.001076,0.000000,train_2020_2021
2020-01-06,pl1s,1,1.000000,2020-01-15,pt,0.059662,1.679135,0.240278,0.218319,0.201787,0.218110,1.190752,0.022583,0.123837,0.009986,0.062268,0.078928,0.346233,0.451415,0.213952,-0.153611,0.298899,0.405585,0.223628,0.220845,0.216232,4.669141,7.677511,7.647535,0.673266,1.520980,0.012763,0.015460,0.000000,0.000550,0.552724,0.291046,0.041273,0.276223,-0.637473,0.121000,0.316859,0.973042,0.661587,0.564740,0.774353,0.891052,0.519967,0.471395,0.398792,1.455857,0.342798,0.998811,-0.285376,0.224015,1.000000,1.000000,0.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,0.750000,1.000000,0.483106,0.130112,0.454545,0.500000,0.000000,0.005066,-0.514085,0.000016,0.996528,0.003456,1.000000,0.786697,0.186969,0.026334,0.000000,train_2020_2021
2020-01-06,rb1s,1,0.000000,2020-01-08,sl,-0.062079,2.683550,0.282206,0.187153,0.243261,0.261869,1.160093,0.087239,0.091540,0.005544,0.088681,0.135159,0.682337,0.561216,0.356389,0.148823,0.438676,0.403587,0.221219,0.234924,0.240031,0.911862,8.048526,5.863650,0.527938,-0.398742,-0.011374,-0.000186,0.000000,0.000538,-0.150392,-1.020624,-0.743177,-0.590331,0.583598,-1.019204,0.083199,0.812262,0.637648,1.096680,0.871058,1.423145,-0.787945,-0.647277,-0.582970,-0.406056,-0.543560,-0.030891,-0.724259,-0.616736,1.000000,2.000000,1.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,1.000000,0.750000,0.710136,0.130112,0.454545,0.500000,1.000000,-0.438941,1.389630,0.999987,0.000013,0.000000,0.000000,0.974743,0.023629,0.001628,0.000000,train_2020_2021
2020-01-06,si1s,1,0.000000,2020-01-21,vertical,-0.020619,1.310074,0.071194,0.144453,0.162493,0.171017,0.438135,0.052010,0.095341,0.013067,0.072007,0.022339,1.076291,0.490290,0.380919,0.074058,0.484331,0.715793,0.165700,0.173065,0.176812,4.724883,12.602379,3.415879,0.748151,2.088910,0.008969,0.004636,0.000000,0.000302,-1.085960,-0.905822,-0.911437,-0.814281,-0.065293,-0.666405,0.332355,0.922454,0.168720,1.901900,0.959217,1.713626,-0.770208,-0.719698,-0.675922,1.968199,0.237804,0.250939,-0.161649,-0.547852,1.000000,2.000000,1.000000,0.333333,0.750000,0.250000,0.500000,0.866025,0.000000,1.000000,1.000000,0.750000,0.446252,0.130112,0.454545,0.500000,1.000000,0.146255,-0.251290,0.999969,0.000028,0.000003,0.000000,0.945295,0.032400,0.022305,0.000000,train_2020_2021
2020-01-07,cl1s,-1,1.000000,2020-01-13,pt,0.076540,7.431369,0.257518,0.154995,0.247515,0.260022,1.040412,0.096055,0.063301,0.016402,0.072031,0.170676,0.694962,0.692608,0.350254,-0.033855,0.453055,0.226300,0.200425,0.214924,0.218577,3.585027,10.560235,12.136747,0.460412,0.405131,-0.005241,-0.006499,0.000000,0.000442,-0.247757,-1.074453,-0.583284,-0.500153,0.613547,-1.142485,0.336915,0.718467,0.889931,1.159954,1.128495,1.449553,-0.847773,-0.736840,-0.694568,0.322905,-0.237336,-0.608537,-0.514845,-0.641135,-1.000000,1.000000,0.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,1.000000,0.250000,0.723683,0.130072,0.181818,0.200000,0.000000,-0.383051,-0.744839,0.999968,0.000010,0.000022,0.000000,0.958556,0.040627,0.000817,0.000000,train_2020_2021
2020-01-07,es1s,1,1.000000,2020-01-16,pt,0.024804,1.309631,0.094638,0.070216,0.079053,0.083347,1.197152,0.034561,0.030766,0.003638,0.035665,0.095218,0.453824,1.007184,0.381002,-0.325434,0.455199,0.464769,0.079809,0.082159,0.082308,1.179194,10.286386,17.481805,0.539257,0.125418,-0.000859,0.001865,0.000000,0.000070,-0.506915,-0.918877,-0.979943,-0.938110,-0.190725,-1.010768,0.107742,0.676757,1.055483,0.633494,1.670227,1.474310,-0.907602,-0.898076,-0.893760,0.040974,-0.052676,0.060125,-0.307769,-0.509207,1.000000,3.000000,2.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,0.333333,0.333333,0.908878,0.130072,0.181818,0.400000,2.000000,-0.123420,-0.508214,0.999920,0.000080,0.000000,0.000000,0.978794,0.020165,0.001041,0.000000,train_2020_2021
2020-01-07,fesx1s,1,1.000000,2020-01-21,vertical,0.007439,1.107288,0.157343,0.114677,0.105202,0.114581,1.495630,0.037538,0.051793,-0.005319,0.036802,0.099670,0.307650,0.539866,0.240831,-0.426223,0.297220,0.333443,0.111577,0.116737,0.121043,0.674133,7.848473,5.309922,0.580243,-0.130932,-0.024758,-0.004564,0.000000,0.000137,-0.322715,-0.824607,-1.041799,-0.960194,-0.263173,-0.959870,-0.182375,0.599857,0.934280,0.468838,0.904716,0.981145,-0.836183,-0.806783,-0.756026,-0.193732,-1.024267,-0.646945,-0.165330,-0.574846,1.000000,2.000000,1.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,0.666667,1.000000,0.773970,0.130072,0.181818,0.400000,1.000000,-0.051611,-0.170841,0.999984,0.000015,0.000000,0.000000,0.965978,0.029812,0.004210,0.000000,train_2020_2021
2020-01-07,hg1s,1,0.000000,2020-01-22,vertical,-0.010255,1.100363,0.161309,0.137099,0.146915,0.142043,1.097970,0.018821,0.069141,-0.014217,0.047842,0.076524,-0.070109,0.434691,0.257149,-0.091363,0.339354,0.713783,0.140441,0.144335,0.145909,-2.385622,2.660556,9.324405,0.607695,-0.297053,0.011937,0.008778,0.000000,0.000217,-0.477216,-0.949930,-1.003656,-1.048504,-0.783803,-0.942374,-0.437670,0.608493,0.488748,-0.165095,0.716309,1.090949,-0.860551,-0.807498,-0.774099,-0.318091,0.262384,0.380356,-0.159979,-0.541100,1.000000,3.000000,2.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,0.250000,0.500000,-0.177196,0.130072,0.181818,0.400000,2.000000,0.156444,-1.134873,0.999971,0.000010,0.000019,0.000000,0.972318,0.026797,0.000885,0.000000,train_2020_2021
2020-01-07,nq1s,-1,0.000000,2020-01-16,sl,-0.031193,1.382765,0.142315,0.092981,0.103404,0.108380,1.376298,0.035330,0.039914,0.013562,0.059895,0.130863,0.831558,1.185948,0.483998,-0.357200,0.569426,0.362280,0.101990,0.103858,0.102017,3.090498,14.738001,15.752463,0.514253,1.466822,0.015321,0.001898,0.000000,0.000114,-0.413382,-0.862245,-0.888840,-0.858151,-0.369319,-0.979169,0.351088,0.787047,0.924649,1.247228,1.847532,1.804009,-0.883002,-0.891754,-0.909611,1.256877,0.409684,0.059788,-0.180826,-0.588954,-1.000000,2.000000,1.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,1.000000,0.666667,0.873454,0.130072,0.181818,0.200000,1.000000,-0.057878,-0.274551,0.999958,0.000042,0.000000,0.000000,0.965332,0.033644,0.001024,0.000000,train_2020_2021
2020-01-07,pl1s,1,1.000000,2020-01-15,pt,0.054089,1.452852,0.234835,0.217917,0.201971,0.214182,1.162717,0.022357,0.124213,0.006402,0.069173,0.082924,0.383556,0.493037,0.237891,-0.161010,0.325418,0.388737,0.224069,0.221476,0.215785,3.194526,7.105097,9.356266,0.706875,-0.466232,-0.009356,0.016564,0.000000,0.000552,0.500278,0.286004,0.043886,0.220767,-0.647402,0.127475,0.197907,1.083762,0.697181,0.629777,0.848939,0.996513,0.525589,0.479314,0.393242,-0.483419,-0.262755,1.070984,-0.285022,0.228252,1.000000,2.000000,1.000000,0.333333,0.750000,-0.500000,0.500000,0.866025,0.951057,0.309017,0.750000,1.000000,0.484348,0.130072,0.181818,0.400000,1.000000,-0.075445,1.820232,0.000201,0.998373,0.001426,1.000000,0.780920,0.189534,0.029546,0.000000,train_2020_2021
