K,silhouette,calinski_harabasz,davies_bouldin
3,0.08963612254830555,0.4725638935307375,2.3426711132029197
4,0.10392641496559468,0.7909609891334585,2.5747961639973362
5,0.07752151613023496,0.5861587483869247,3.085128620907903
6,0.08711164460499109,0.829446803639174,2.9393613329111212
7,0.09908675421721433,0.6827763509942177,3.3237319060816324
8,0.10460210607707547,0.5780117929313738,3.879249195548634
9,0.11295667625696551,0.4994383151441951,3.6282439987001993
10,0.12081107830707452,0.5623871272917027,3.457422299605235
11,0.13498532469911198,0.4996593327916057,3.3850640410452546
12,0.1407966653042253,0.6065995690150429,3.336223042233198
13,0.14551462272703744,3.032895607728052,3.245932797275951
14,0.14521518694624722,2.762268107818773,3.2466854115419896
15,0.14831829147567607,2.5303026834271707,3.143734428570279
