cluster,mean_drop,std_drop
C3_f13,0.058810247636139804,0.03676036955751465
C1_f1,0.01614915064976957,0.02232768685066284
C9_f11_lowfreq_macro,0.009512595093265064,0.005928922281883896
C2_f6,0.008962696283403607,0.0172756306501542
F4_latent,0.008320908519051434,0.009480647028308163
C5_f11,0.0045787281651389605,0.010639447500476283
C14_f12,0.0029934958182438725,0.005559189507809991
C8_f11_lowfreq_macro,0.0017335603165334423,0.005130380747275326
C11_f11_lowfreq_macro,0.001488835557369163,0.005309148381614059
C15_f11,0.00020237227000550594,0.006548717710957968
F5_signal,-0.0008570661001931684,0.02319100447494898
C10_f11,-0.0026650113741848672,0.006793621745794125
C7_f12,-0.0026982666459560802,0.0037970069664783183
F8_calendar,-0.006838581732840274,0.011351542894486543
C12_f2,-0.00779245162496667,0.016722269970608848
C13_f7,-0.008703605020412007,0.010195818519266913
C6_f11,-0.009594165248818117,0.01879034747512167
C4_f2,-0.015693358185882442,0.023908276026680518
