instrument,date,t1,partition,side,sigma,pt,sl,h,ret,label,touch
cl1s,2020-05-11,2020-05-12,train,1.0,0.18514159446284742,0.25,0.25,1,0.067937033509752,1,pt
cl1s,2020-05-12,2020-05-13,train,1.0,0.18435691974370352,0.25,0.25,1,-0.01900698255698674,0,vert
cl1s,2020-05-13,2020-05-14,train,1.0,0.18438627864268883,0.25,0.25,1,0.08566978284780036,1,pt
cl1s,2020-05-14,2020-05-15,train,1.0,0.18526096670360465,0.25,0.25,1,0.058823528708133566,1,pt
cl1s,2020-05-19,2020-05-20,train,1.0,0.11369226266914255,0.25,0.25,1,0.04787234051433775,1,pt
cl1s,2020-05-27,2020-05-28,train,1.0,0.07640448099326073,0.25,0.25,1,0.027430661197227924,1,pt
cl1s,2020-05-28,2020-05-29,train,1.0,0.0676898292043402,0.25,0.25,1,0.052803322942236885,1,pt
cl1s,2020-06-04,2020-06-05,train,1.0,0.03608755921169253,0.25,0.25,1,0.05720395635518627,1,pt
cl1s,2020-06-05,2020-06-08,train,1.0,0.0355707785458785,0.25,0.25,1,-0.03438685233797323,0,sl
cl1s,2020-06-08,2020-06-09,train,1.0,0.03750109340034953,0.25,0.25,1,0.01963864902284862,1,pt
cl1s,2020-06-09,2020-06-10,train,1.0,0.03595031346014921,0.25,0.25,1,0.016949152542372836,1,pt
cl1s,2020-06-10,2020-06-11,train,1.0,0.034536743946421276,0.25,0.25,1,-0.08232323206803405,0,sl
cl1s,2020-06-11,2020-06-12,train,1.0,0.04117637030456509,0.25,0.25,1,-0.0022014314856755313,0,vert
cl1s,2020-06-12,2020-06-15,train,1.0,0.03841405264161621,0.25,0.25,1,0.023717595626575605,1,pt
cl1s,2020-06-17,2020-06-18,train,1.0,0.03524122361209383,0.25,0.25,1,0.02198377434100518,1,pt
cl1s,2020-06-18,2020-06-19,train,1.0,0.03424457960562223,0.25,0.25,1,0.019974391538451153,1,pt
cl1s,2020-06-19,2020-06-22,train,1.0,0.03433898975105459,0.25,0.25,1,0.022596033428541995,1,pt
cl1s,2020-06-22,2020-06-23,train,1.0,0.03384665349736013,0.25,0.25,1,-0.008838693782604157,0,sl
cl1s,2020-06-23,2020-06-24,train,1.0,0.03364797289396241,0.25,0.25,1,-0.05845925164608212,0,sl
cl1s,2020-06-24,2020-06-25,train,1.0,0.03497955499459997,0.25,0.25,1,0.01867929453000783,1,pt
cl1s,2020-06-25,2020-06-26,train,1.0,0.034773104610858814,0.25,0.25,1,-0.005940082632083787,0,vert
cl1s,2020-06-26,2020-06-29,train,1.0,0.03320780698489643,0.25,0.25,1,0.03143673659622648,1,pt
cl1s,2020-06-29,2020-06-30,train,1.0,0.03372973066889403,0.25,0.25,1,-0.010831234309771731,0,sl
cl1s,2020-06-30,2020-07-01,train,1.0,0.03300477536870705,0.25,0.25,1,0.01400560284696617,1,pt
cl1s,2020-07-01,2020-07-02,train,1.0,0.03302076162327027,0.25,0.25,1,0.020843796412303828,1,pt
cl1s,2020-07-02,2020-07-06,train,1.0,0.03325737821818646,0.25,0.25,1,-0.000492004595880724,0,vert
cl1s,2020-07-06,2020-07-07,train,1.0,0.030941490067233537,0.25,0.25,1,-0.0002461238050697201,0,vert
cl1s,2020-07-07,2020-07-08,train,1.0,0.029767649943915352,0.25,0.25,1,0.006893156499228059,1,vert
cl1s,2020-07-08,2020-07-09,train,1.0,0.029527833168249553,0.25,0.25,1,-0.03129584341357472,0,sl
cl1s,2020-07-09,2020-07-10,train,1.0,0.030245459538173695,0.25,0.25,1,0.02347299279175763,1,pt
cl1s,2020-07-10,2020-07-13,train,1.0,0.022958158442952945,0.25,0.25,1,-0.011097410332547741,0,sl
cl1s,2020-07-13,2020-07-14,train,1.0,0.02319484964360845,0.25,0.25,1,0.004738154421738638,1,vert
cl1s,2020-07-14,2020-07-15,train,1.0,0.022771916135670252,0.25,0.25,1,0.022586250227866644,1,pt
cl1s,2020-07-15,2020-07-16,train,1.0,0.022140582661195427,0.25,0.25,1,-0.011352657004240263,0,sl
cl1s,2020-07-16,2020-07-17,train,1.0,0.022139472484582076,0.25,0.25,1,-0.004397752908801844,0,vert
cl1s,2020-07-17,2020-07-20,train,1.0,0.021755220310172615,0.25,0.25,1,0.004171779161223688,1,vert
cl1s,2020-07-20,2020-07-21,train,1.0,0.02135596721767525,0.25,0.25,1,0.02443792816919843,1,pt
cl1s,2020-07-21,2020-07-22,train,1.0,0.021453720183331332,0.25,0.25,1,-0.00047709966489051236,0,vert
cl1s,2020-07-22,2020-07-23,train,1.0,0.021327935784584404,0.25,0.25,1,-0.01980906887986389,0,sl
cl1s,2020-07-23,2020-07-24,train,1.0,0.016548791142495828,0.25,0.25,1,0.0053567079379672755,1,pt
cl1s,2020-07-24,2020-07-27,train,1.0,0.016183668556991077,0.25,0.25,1,0.007507870948786799,1,pt
cl1s,2020-07-27,2020-07-28,train,1.0,0.01607202069427879,0.25,0.25,1,-0.013461538381976168,0,sl
cl1s,2020-07-28,2020-07-29,train,1.0,0.015146174874847674,0.25,0.25,1,0.0056042890087513175,1,pt
cl1s,2020-07-29,2020-07-30,train,1.0,0.014887398917122922,0.25,0.25,1,-0.03271141297613134,0,sl
cl1s,2020-07-30,2020-07-31,train,1.0,0.01658147193822626,0.25,0.25,1,0.008767534910469887,1,pt
cl1s,2020-07-31,2020-08-03,train,1.0,0.01600118991602074,0.25,0.25,1,0.018375962832880566,1,pt
cl1s,2020-08-03,2020-08-04,train,1.0,0.016551655645469513,0.25,0.25,1,0.016825164468791565,1,pt
cl1s,2020-08-04,2020-08-05,train,1.0,0.016954471005881728,0.25,0.25,1,0.011750599141167717,1,pt
cl1s,2020-08-21,2020-08-24,train,1.0,0.014921825981435786,0.25,0.25,1,0.006613132491385176,1,pt
cl1s,2020-08-24,2020-08-25,train,1.0,0.014902515829393004,0.25,0.25,1,0.017128108252172813,1,pt
cl1s,2020-08-25,2020-08-26,train,1.0,0.014912894413427606,0.25,0.25,1,0.0009227223517414007,1,vert
cl1s,2020-08-26,2020-08-27,train,1.0,0.014896582343487496,0.25,0.25,1,-0.008066374613451277,0,sl
cl1s,2020-09-01,2020-09-02,train,1.0,0.011813279478375452,0.25,0.25,1,-0.029232928410432013,0,sl
cl1s,2020-09-02,2020-09-03,train,1.0,0.013345922887533097,0.25,0.25,1,-0.0033726812291500208,0,sl
cl1s,2020-09-16,2020-09-17,train,1.0,0.026816658158421325,0.25,0.25,1,0.020044543239470913,1,pt
cl1s,2020-09-21,2020-09-22,train,1.0,0.028840747183548534,0.25,0.25,1,0.006575618907760594,1,vert
cl1s,2020-09-22,2020-09-23,train,1.0,0.028840046335398852,0.25,0.25,1,0.0032663317336407705,1,vert
cl1s,2020-09-23,2020-09-24,train,1.0,0.028482274565984875,0.25,0.25,1,0.009516654297689442,1,pt
cl1s,2020-09-24,2020-09-25,train,1.0,0.028630430576727137,0.25,0.25,1,-0.0014884639780549103,0,vert
cl1s,2020-09-25,2020-09-28,train,1.0,0.028618669019484275,0.25,0.25,1,0.00869565210741663,1,pt
cl1s,2020-09-28,2020-09-29,train,1.0,0.02874925829419752,0.25,0.25,1,-0.03226600980014027,0,sl
cl1s,2020-09-29,2020-09-30,train,1.0,0.029491833835662413,0.25,0.25,1,0.023670144869491816,1,pt
cl1s,2020-09-30,2020-10-01,train,1.0,0.0301001713742898,0.25,0.25,1,-0.03729487862164693,0,sl
cl1s,2020-10-01,2020-10-02,train,1.0,0.030538197165789493,0.25,0.25,1,-0.043130165266444975,0,sl
cl1s,2020-10-02,2020-10-05,train,1.0,0.03183840997817039,0.25,0.25,1,0.05856950081926504,1,pt
cl1s,2020-10-05,2020-10-06,train,1.0,0.0337188268344302,0.25,0.25,1,0.036970933307625575,1,pt
cl1s,2020-10-07,2020-10-08,train,1.0,0.028823787808339243,0.25,0.25,1,0.031038798812260238,1,pt
cl1s,2020-10-08,2020-10-09,train,1.0,0.02900218285716507,0.25,0.25,1,-0.014323864955509635,0,sl
cl1s,2020-10-09,2020-10-12,train,1.0,0.029306867436864396,0.25,0.25,1,-0.028817734638095227,0,sl
cl1s,2020-10-12,2020-10-13,train,1.0,0.030214875138082964,0.25,0.25,1,0.019528278346333305,1,pt
cl1s,2020-10-13,2020-10-14,train,1.0,0.02993518189849519,0.25,0.25,1,0.020895522405836253,1,pt
cl1s,2020-10-14,2020-10-15,train,1.0,0.028316428150068976,0.25,0.25,1,-0.0024189647939832915,0,vert
cl1s,2020-10-15,2020-10-16,train,1.0,0.0279625945313127,0.25,0.25,1,-0.002909796447944979,0,vert
cl1s,2020-10-16,2020-10-19,train,1.0,0.02796030548421718,0.25,0.25,1,-0.0014591440361059194,0,vert
cl1s,2020-10-19,2020-10-20,train,1.0,0.02603437845084371,0.25,0.25,1,0.015586945813040431,1,pt
cl1s,2020-10-20,2020-10-21,train,1.0,0.026200794843127737,0.25,0.25,1,-0.040047961005057586,0,sl
cl1s,2020-10-21,2020-10-22,train,1.0,0.027890118032212415,0.25,0.25,1,0.015238570906156435,1,pt
