feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained
f7_volume_z_20,5,0.108676,0.707107,0.976123,0.707107,0.023877
f7_volume_trend_20,5,0.061928,0.707107,0.976123,-0.707107,0.023877
