cluster,clustered_MDA_mean,clustered_MDA_std,clustered_MDI,group_SHAP_mag
C12_f1,0.035351343075597154,0.04317352120122793,0.17242473135089137,0.0
C9_f11_lowfreq_macro,0.0076126068400707535,0.03072346744508015,0.08901368838514341,0.0
F5_signal,0.0020903431204997197,0.02845814384813433,0.054239134086134635,0.0
C3_f11_lowfreq_macro,0.00012435087534328203,0.0064389577059938375,0.027370469526939743,0.0
C11_f6,-0.000506945112053044,0.023398841968305075,0.11820347464629784,0.0
C2_f7,-0.00211990776300555,0.008679725534785746,0.04717887512599072,0.0
F4_latent,-0.0025198324258205785,0.011452264451585531,0.03477302021253505,0.0
C4_f11,-0.00465777442620707,0.018628450261495417,0.11116827827992751,0.0
F8_calendar,-0.005551296622957932,0.007073483629504334,0.015037091998506329,0.0
C5_f2,-0.006303637871458457,0.01166358514594053,0.027492726901691515,0.0
C8_f12,-0.007401705489801184,0.010741263940387333,0.024526185302750306,0.0
C1_f11_lowfreq_macro,-0.007525565297808527,0.013432958178781451,0.01634586775094151,0.0
C7_f11,-0.010646892658092958,0.02747694098177868,0.09358455537610794,0.0
C10_f2,-0.014078666950715808,0.01644943851158446,0.10507730215520487,0.0
C6_f7,-0.021782240949080944,0.02132246062976427,0.06356459890093728,0.0
