feature,pfi_mean,pfi_std,mdi_mean,shap_signed,shap_magnitude
f1_mr_score_10,0.00020709898440009016,0.0028623905840163013,0.00964813029702573,5.789947764848821e-05,0.0025156500139184956
f1_dist_ma_sigma_10,-0.0011997180705404227,0.0046065518630305086,0.008854327842498613,-4.939499930824672e-05,0.001838722302887179
f1_ret_reversal_10,0.000505169942577686,0.003550644222440926,0.012282450366661072,-0.00118232965549449,0.0021673967462522265
f1_hilo_pos_10,-0.00012544836452943505,0.0031656923811317836,0.0057260182167745205,9.607252586162756e-05,0.0017362135089113067
f1_mr_score_20,0.00010784568807280144,0.002877146658488396,0.008075519693490423,-4.78604648003338e-06,0.0019366569902882532
f1_dist_ma_sigma_20,0.0006295416645571002,0.0012929160227043992,0.011086265150718795,-0.0010211515026101866,0.002555670255784151
f1_ret_reversal_20,0.012344565562257052,0.011152341808863653,0.02052659550970162,-0.00155903819407667,0.008712225660839179
f1_hilo_pos_20,0.002834488365671081,0.002931186641055991,0.010507458632967485,-0.000883070514343134,0.0034440091691778332
f1_mr_score_40,0.0038387055823931662,0.003938131447038264,0.008660371946913329,-0.0004398270909008199,0.0025003888847003027
f1_dist_ma_sigma_40,0.001988031519356244,0.00318030795776955,0.018111332555394617,0.0009956743186901875,0.003950771248381149
f1_ret_reversal_40,0.005037614663877482,0.006245990372937341,0.024223817149936565,0.0026144379555967452,0.00823069872776359
f1_hilo_pos_40,0.0008344138845604548,0.001959765571451241,0.01044535920752781,-0.00020048037494860394,0.0030171632314248977
f1_rsi_14,0.0011962176935853977,0.002081036441728339,0.008845772505388504,0.0002454888482300126,0.0024332643136600624
f1_bb_pctb_20,0.0020577969272682064,0.004210279521200273,0.008110809985904915,-0.0004488796500519768,0.001988034976649632
f1_bb_bandwidth_20,-0.001107107181591726,0.002009972246778954,0.008005008470161149,1.518490630248182e-05,0.0018878111685712506
f2_vol_10,0.00023896961271680571,0.0037961842629927974,0.010660786249599964,0.00015597007322896978,0.003249112718286544
f2_vol_20,-0.004773936193969545,0.008226744256755259,0.008836931436406372,0.0002320058643409817,0.0025912453391625325
f2_vol_60,-0.0016458619191959377,0.0033184091492219846,0.012329254149645353,-0.00015380094076453832,0.0031877406670703626
f2_vol_ratio_20_60,0.0003057038209329991,0.0017589334516099463,0.007845039555596935,-0.00024653476011913465,0.0016548429676614869
f2_vol_pctile_20,-0.00026359101749473643,0.002285738895051232,0.009007925077781732,-0.0004098589518819431,0.002120946023426032
f2_vol_of_vol_20,-0.0013492046761343925,0.0033324456903657718,0.008633241451987374,0.000826822643980384,0.0026101802528525116
f2_parkinson_20,-0.0019018129401344916,0.0029710049853150155,0.010598040554944657,0.0004888706491590645,0.0032833979945078103
f2_atr_14,-0.0041495219207256925,0.006827971566913461,0.009427478073292184,0.0007784193905610047,0.002173076036296556
f2_ret_skew_60,-0.004116778041378854,0.012834699610712576,0.009814576996609358,0.0010461883495524696,0.0026602463408383088
f2_ret_kurt_60,-0.002627322087434975,0.005901530593573343,0.0123085316421353,0.0026357838639960484,0.003743387543717753
f6_ts_momentum_20,0.02030292794822668,0.010576798644325175,0.029970564028488418,-0.002588985587806596,0.013150410626993275
f6_ts_momentum_60,0.004788687177443359,0.010072582172327045,0.02934285921657669,0.002941234347659976,0.01158295334812444
f6_ma_cross_20_60,0.0025403405460391313,0.006126413720403637,0.0215786957693543,0.0030035442546167347,0.007867130116986287
f6_macd_12_26,0.00775905224281993,0.01023823209312274,0.01775930134484561,0.00012724527566226692,0.0071447794840307065
f6_macd_hist_12_26_9,0.001537562021363714,0.0025549010654987952,0.01072327148993901,-0.0005419902839859946,0.0026945833146419375
f6_adx_14,-0.0007035678860659408,0.0025937710479724506,0.010593355689747851,-0.000474052852886984,0.0023682454959325174
f6_donchian_pos_20,0.0044300609883877705,0.005290388049311047,0.012800903213230769,-0.0010073125564917156,0.003771582443641222
f7_volume_z_20,0.000344074623867486,0.0007450768843394701,0.0024224035631712645,4.578707578722819e-05,0.0006596850226975916
f7_volume_trend_20,-1.9603235221466232e-05,0.0022809006054719115,0.004802354390418706,-3.3219970034274106e-05,0.0010541882036365442
f7_oi_level,-0.004508773509542156,0.007687312259352243,0.012796666299626527,0.000297333985387553,0.003320412769458543
f7_oi_change,-0.0010665124846471886,0.002925685948945344,0.007410673898162717,-7.5952571104585e-05,0.0018299200095738479
f7_oi_z_20,-0.0028228760367031694,0.0035367923586682444,0.011292081300327522,0.0003890149149803555,0.003424045344201624
f7_oi_price_div_20,-5.5332885248730045e-05,0.00039163302916294,0.0010399797011817508,-9.402137960741654e-06,0.000382293035506584
f10_hl_range,-7.93515239397147e-05,0.0013883532236907137,0.00370633797249649,5.408887053135922e-05,0.0008548366482571144
f10_oto_ret,0.0012824676506716982,0.0012829347010478343,0.005832510090273761,0.00024260789639453777,0.0014807479034738133
f10_oto_ret_mean_20,0.004624191192543986,0.004303377458361184,0.012061919954775428,-0.00042732767804542175,0.004792723628327464
f4_pc1,0.0008529123355715499,0.0025034843212833648,0.008765990612239953,6.900948134767308e-05,0.0025805577351882864
f4_pc2,0.0010508818615145058,0.0018068205226872075,0.0072776104395477275,-1.3008625972453083e-05,0.0016718144527314263
f4_pc3,0.00905767101503942,0.011371046281803366,0.01778282554361447,9.314520249423765e-05,0.007836430492954087
f4_pc4,-0.000826494773048219,0.002306849359507946,0.003989475030452461,-0.00011083562048444928,0.0014491826238377593
f5_signal,-0.0010550372357248723,0.023349610304942616,0.018920895679907398,0.0017391230266413681,0.008088139865189203
f5_trailing_run_length,0.000827680643095711,0.0033343350333778538,0.006744133742993882,-9.759721180396108e-05,0.001714234159981356
f5_participation_20,-0.00036985095632790106,0.0011342948643928582,0.0011594515539646861,3.324372102355055e-05,0.00044101736293929633
f5_long_bias_20,5.3851843777279106e-06,0.0018562116634977975,0.006987589846565149,0.0008670775863691792,0.0018656906717612607
f5_sign_agree_mr,-0.00025636921082990095,0.0010728721510415914,0.0019109124999782295,0.0001441171130964438,0.0010035189806142058
f8_dow_sin,-0.00012826912809594471,0.0008935066622201716,0.0013622051175882514,-8.555426669818583e-06,0.000517723446441762
f8_dow_cos,-0.00023239703681956675,0.000972650919935592,0.0011248864905598027,2.4874064585210826e-05,0.0004897754274653112
f8_month_sin,-0.0003698543259066541,0.0012803068394037231,0.004009551008924743,4.425770490920502e-05,0.0013378343329854975
f8_month_cos,-0.005608189363769214,0.008649911336369467,0.008142196111783646,-0.0006546940322071318,0.0029925865364804427
f11_vix_level_z,-0.003055378724255738,0.0051501224712479496,0.006118779177948553,0.0003348181190674392,0.0018440847277993192
f11_vix_5d_change,-0.0009681893127381865,0.0023785904356992942,0.005398239258222893,0.00034386227815615345,0.0013992723818920417
f11_vix_term_slope,-0.0003399260013633084,0.0013312701842181464,0.006420227974204496,0.0002834476362801743,0.0016832338848268612
f11_move_z,0.0008937926840868731,0.0017868377768444697,0.009682177248183219,0.0007403554162306512,0.0024866403910637656
f11_move_vix_ratio,0.0005539733934533538,0.0018993722237977465,0.01271277103702191,-0.0010514177483048203,0.002785871113957378
f11_skew_z,0.0004998896725566137,0.007221372842590811,0.013371631890000978,-0.001423855607940484,0.003041098849400196
f11_us_2s10s_slope,0.0018499047848845676,0.005975382746385099,0.014715238264076242,0.00026322560676245773,0.005260776339847102
f11_ust_10y_5d_change,-0.0002699258899913973,0.0006627066386622832,0.005481652858593184,-0.00015484438743810033,0.0014813658172631709
f11_bund_10y_5d_change,0.0033229964085904947,0.003600474280234391,0.009769833874267886,-0.00016844911005997363,0.003109221384234676
f11_ust_bund_spread,-0.0002481042065016958,0.002247624609479046,0.011946752785826324,-0.00022251118340905885,0.0018148571980112838
f11_real_yield_10y,-0.0012678702719668153,0.005140830077129505,0.006961485380183181,5.197890711003972e-05,0.0017181445294719522
f11_breakeven_10y,-0.0014773015809735667,0.006300120431734834,0.016155452686448187,-0.0007363621124015551,0.004187096817549887
f11_be_5d_change,-0.0009830497850737091,0.0033140646841283545,0.006149011816024679,7.875914584739652e-05,0.001856807163967204
f11_hy_oas_z,-0.0009320445298090615,0.0033343425294149985,0.006415849022358696,0.00034026306832414673,0.0018915545229775572
f11_hy_oas_5d_change,0.002700143057770814,0.0029052138169988486,0.0072169078054152205,-0.00027066212808983335,0.0021934338827254403
f11_ig_oas_z,-0.0023715614815212143,0.007910288133933657,0.009799301099759706,0.0009615451006769996,0.0028206429304287045
f11_hy_ig_ratio,0.0009806823093521547,0.0018831316039271495,0.009940807725143696,0.0008851208421333056,0.0029167920478592227
f11_dxy_z,0.007666835788904309,0.006631796609916223,0.02822503632733628,-0.0006571936596770851,0.010450742701270175
f11_dxy_5d_change,0.000551037960491734,0.0016066738092469705,0.005897838526855968,-5.8946785285280915e-05,0.0018455686528865863
f11_eurusd_5d_change,0.0010854408213582345,0.00435111225393003,0.0122453302328011,0.0003408434586484493,0.0032509493716899734
f11_crude_stock_surprise,0.0016875267010739966,0.0049150830276888,0.012308007854199693,-0.0014310429851969336,0.0036856163313508123
f11_dist_stock_surprise,-0.0007701850596007961,0.006139475781091064,0.014869020374733921,0.00023464694184153397,0.0040026152376012826
f11_gasoline_stock_surprise,0.0008467433531546522,0.00486333075108043,0.01302969602313481,0.00022876078272315455,0.003250644178821194
f11_ng_stock_surprise,5.940340678016041e-05,0.0018924534218836,0.009230405485137478,0.00039218802153423893,0.0026340080795163364
f11_copper_stock_z,-0.0014418204169487049,0.011785215694233622,0.012422450660422623,-0.00016881958843191394,0.004215747436570578
f11_baltic_dry_z,0.002015873847484026,0.0058978419730543056,0.013522998254056652,5.3919689854848725e-05,0.00419404792552591
f11_baltic_5d_change,-0.0010603853191233463,0.0030310407010031427,0.006665917425014799,-0.0004469614873015583,0.0015216327752229238
f11_ism_pmi_level,0.002118242484405469,0.006876651386927976,0.018236678349531955,-0.004862106322873301,0.009411233029345956
f11_ism_pmi_3m_change,0.0003352642318204143,0.004319828917143239,0.01309820967829071,0.0008032995475178972,0.005563460242334688
f11_china_pmi_level,3.3283840863240764e-05,0.0024289755687899725,0.0068471569059477665,0.00027464434170771827,0.0017256863685111885
f11_global_pmi_breadth,-1.2369706378984051e-05,0.0001714897041606324,0.0006623889953177126,-0.00017369866847065168,0.00028938613275962863
f12_mra_energy_D1,-0.0006424775128836568,0.003142757263543219,0.0073715413520411355,5.3935245514413634e-05,0.0016161746342782716
f12_mra_energy_D2,1.5082929909257706e-05,0.0006241893289001833,0.004755656171024245,-0.000288319917349899,0.0010251043262449555
f12_mra_energy_D3,0.0007727394158180027,0.0016726473679907288,0.006284843197734713,-0.0005720189866340535,0.0015115917218311578
f12_mra_energy_D4,-0.002580500608047639,0.006563566170707845,0.007866208657021898,0.000538294488285404,0.0021888206252323092
f12_mra_energy_D5,0.007899721581892815,0.0069616615348909216,0.02155186061405107,-1.1339652985649662e-05,0.007009038721074261
f13_path_tortuosity_20d,-0.0028693423689513217,0.006316579178381309,0.008024245738895814,-8.090790976969147e-05,0.0017754104143171523
f13_realized_semi_vol_ratio,0.002847849256797569,0.00491959922887106,0.015099679233487422,-0.00166026476253248,0.004458049084736309
f13_expected_hit_time,-0.00019764676751281136,0.0017453214205548839,0.001779140727402083,-2.3294536486438906e-05,0.0006703962165864782
f13_prob_timeout,-0.00020659608133718552,0.002058002169689621,0.006946137188522127,-0.000549064965172836,0.0022585759660006667
f15_asset_class_dispersion_z,0.0003253213705323898,0.0010396941001230182,0.005622340737484782,8.23734856680762e-08,0.0015548625963210233
f15_ewma_implied_corr_z,-0.00131832132303644,0.004156369433287696,0.009518358112833959,0.0002455106335959757,0.0026098367822874036
hmm_vol_p0_calm,-0.00018059207980459718,0.002126761100780379,0.004834644074400153,0.0001300308593775448,0.0014733946227633576
hmm_vol_p2_turbulent,-0.0007644136625552998,0.0015381746782549533,0.004463629279051224,-0.00010455271404926864,0.0010242795815267075
hmm_vol_entropy,0.000640448586786191,0.001168121050615211,0.004027295408042848,3.4463924459535296e-05,0.0010809737936207917
hmm_macro_p0,-0.0003961119390075606,0.0023606988227287055,0.004948745104209943,0.0002884396767420594,0.0013652375086880871
hmm_macro_entropy,-0.0004978098054373092,0.004287182163715043,0.0065057750875344815,1.2558096510187631e-05,0.002120550658152996
