K,silhouette,calinski_harabasz,davies_bouldin
3,0.1171754058515858,3.1254692680017198,2.8450751735300503
4,0.0821267556406292,2.0591326962846375,2.8782649287355033
5,0.09022912497789999,1.5259644090856204,5.6209769675250305
6,0.0962834938784575,1.2060634564785766,5.032380549550019
7,0.09156895371196469,0.9927961389154518,5.905331514346709
8,0.09172274399341966,0.8404623398402381,5.480219806801596
9,0.1061558918907506,5.006958391934379,5.101742452677261
10,0.11465013795845697,4.394292643726875,4.809276724134378
11,0.13357276076884395,3.9041600033069264,4.805609719513935
12,0.1517507730697637,3.5031423878662835,4.569756591855415
13,0.15896564279132186,3.168961075593514,4.511190104105687
14,0.16793685191919752,2.8861924084531836,4.409548205526229
15,0.17339813551683952,2.6438191575859418,4.569593752870566
