feature,cluster,mean_coef_abs,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained
f11_dxy_5d_change,C2_f11_lowfreq_macro,0.11822746409505139,0.7071067811865476,0.9813576589629471,0.7071067811865475,0.018642341037052788
f11_eurusd_5d_change,C2_f11_lowfreq_macro,0.054489917922050074,-0.7071067811865475,0.9813576589629471,0.7071067811865476,0.018642341037052788
