feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f2_vol_60,C12_f2,0.20893224503334842,0.47110173036671066,0.3421163382068514,-0.00624010431138047,0.13574119725307313,-0.14563083645548977,0.12278096211640127
f2_vol_of_vol_20,C12_f2,0.0003755228661207689,0.45919923292483233,0.3421163382068514,0.12199847436052266,0.13574119725307313,0.06851618792209035,0.12278096211640127
f2_ret_skew_60,C12_f2,0.0013725604974940695,-0.3633800543874889,0.3421163382068514,-0.021874394314339518,0.13574119725307313,0.2838644599801562,0.12278096211640127
f2_ret_kurt_60,C12_f2,0.0006454858734484828,0.4517483749591655,0.3421163382068514,0.24741627178716835,0.13574119725307313,-0.029827713992932072,0.12278096211640127
f7_oi_price_div_20,C12_f2,0.0,0.14826510183487546,0.3421163382068514,-0.0899000617244299,0.13574119725307313,0.517059390183211,0.12278096211640127
f11_move_z,C12_f2,0.1692006967645901,-0.28122718777525374,0.3421163382068514,0.24674409315753837,0.13574119725307313,-0.4361870305440375,0.12278096211640127
f11_ng_stock_surprise,C12_f2,0.0016104210720018104,0.22869138605396064,0.3421163382068514,-0.391845411298741,0.13574119725307313,0.19665385595464144,0.12278096211640127
f11_ism_pmi_3m_change,C12_f2,0.0026881956201787404,0.06442917884392571,0.3421163382068514,0.5714458896089405,0.13574119725307313,0.3948016802582474,0.12278096211640127
f12_mra_energy_D3,C12_f2,0.0,-0.1672238064556753,0.3421163382068514,-0.17386963956444082,0.13574119725307313,0.44746931297449943,0.12278096211640127
hmm_vol_entropy,C12_f2,0.00020508577426274618,-0.21268681400471617,0.3421163382068514,0.2656215770526087,0.13574119725307313,0.18699255888478983,0.12278096211640127
hmm_macro_entropy,C12_f2,0.000761292931382303,0.01886644950608326,0.3421163382068514,-0.5230112419527887,0.13574119725307313,-0.07268300890753994,0.12278096211640127
