cluster,mean_drop,std_drop,significant
C4_f2,0.13580267853955658,0.10490008091323196,True
C12_f11,0.08106479981523403,0.0591557175021591,True
C3_f6,0.007359704602561379,0.015165245842515135,False
F4_latent,0.0032483463749788384,0.012430181981091368,False
C6_f2,0.002815091454406585,0.01271224677628667,False
C10_f11_lowfreq_macro,0.0028141551639971995,0.00692680568160914,False
C5_f11_lowfreq_macro,0.0025258774970531093,0.009092153431881736,False
C9_f11_lowfreq_macro,0.0006592139862185738,0.002277955188146359,False
C8_f7,0.0003930834102748896,0.0017600963352019552,False
C14_f12,-0.00026070730345176377,0.0015814086130070799,False
F8_calendar,-0.00033422064615723127,0.0009843872161134865,False
F5_signal,-0.0004950957885526353,0.0033316234250108678,False
C11_f7,-0.000565632350042757,0.002135339500881662,False
C2_f1,-0.0006297165860099898,0.0028485263051522543,False
C7_f11,-0.001007354875712442,0.006390004676099102,False
C15_f11,-0.0019467993646933022,0.004317744115978903,False
C1_f1,-0.006677302184523006,0.02396150860800105,False
C13_f11,-0.011050551191985333,0.027179604534818935,False
