cluster,mean_drop,std_drop,significant
C5_f11,0.029514490232800446,0.034517553942723364,False
C4_f2,0.019854373300225884,0.032775630432296185,False
C3_hmm_vol,0.016725396724319865,0.014350021008623275,True
C8_f11_lowfreq_macro,0.016145947625723786,0.01727107196626822,False
C14_f2,0.014682530027792986,0.02816933732774391,False
C7_f11_lowfreq_macro,0.012571579647086493,0.021882763167212556,False
C12_f7,0.011989027753304267,0.014672728051018422,False
C11_f11,0.005757350809272557,0.015038799646339081,False
C1_f1,0.002475224561538788,0.03182692804399962,False
C10_f11_lowfreq_macro,0.0018378169133784392,0.005941496700890866,False
C13_f1,-0.002832747208819011,0.010874941162488706,False
F4_latent,-0.0032227562080308844,0.004367527978727183,False
C9_f7,-0.0034754431114071434,0.005452680597751874,False
C6_f11,-0.003603387826065296,0.014785036289877592,False
C2_f1,-0.004279931959128664,0.010283266286045764,False
F8_calendar,-0.005283911955952997,0.008733305942993456,False
F5_signal,-0.02017030091115787,0.027750431324180137,False
