feature,coef_abs,coef_signed
f5_sign_agree_mr,0.16400490958415764,0.16400490958415764
f1_mr_score_10,0.1585877829353974,0.1585877829353974
f11_ism_pmi_3m_change,0.1518342116829076,0.1518342116829076
f11_real_yield_10y,0.1474729767350086,0.1474729767350086
hmm_vol_p2_turbulent,0.1129308013853157,0.1129308013853157
f11_baltic_5d_change,0.10794920405744476,0.10794920405744476
f11_ig_oas_z,0.10786353392577347,-0.10786353392577347
f11_gasoline_stock_surprise,0.10612402302274494,0.10612402302274494
f11_vix_5d_change,0.10217763205673665,-0.10217763205673665
f5_signal,0.10058824999715181,0.10058824999715181
f12_mra_energy_D2,0.09761362271974833,-0.09761362271974833
f11_bund_10y_5d_change,0.09055542130282038,0.09055542130282038
f11_hy_oas_z,0.08776435103855364,-0.08776435103855364
f2_vol_60,0.08547231887556957,0.08547231887556957
hmm_vol_p0_calm,0.08212116387562284,-0.08212116387562284
f2_vol_pctile_20,0.07795691234634813,0.07795691234634813
f11_skew_z,0.07724052705107655,-0.07724052705107655
f12_mra_energy_D3,0.07572424282528686,0.07572424282528686
f7_oi_change,0.069342813695501,0.069342813695501
f11_vix_term_slope,0.06359654797645375,0.06359654797645375
f11_eurusd_5d_change,0.058728320458014106,-0.058728320458014106
f13_expected_hit_time,0.05859364787379707,0.05859364787379707
f11_ust_10y_5d_change,0.056202706444626854,0.056202706444626854
f15_ewma_implied_corr_z,0.0551279273400981,-0.0551279273400981
f11_ust_bund_spread,0.05319786248523269,-0.05319786248523269
f5_participation_20,0.050872309076128275,-0.050872309076128275
f13_realized_semi_vol_ratio,0.04596809705709151,-0.04596809705709151
f11_dist_stock_surprise,0.04573845700612859,0.04573845700612859
f2_vol_of_vol_20,0.045573079732075576,0.045573079732075576
f12_mra_energy_D5,0.044696465979778936,0.044696465979778936
f11_move_z,0.04268272830110946,0.04268272830110946
f11_dxy_z,0.042559721101705354,0.042559721101705354
f11_move_vix_ratio,0.040577676637888284,-0.040577676637888284
f13_prob_timeout,0.04020281888946512,-0.04020281888946512
f11_hy_ig_ratio,0.03988280136816742,0.03988280136816742
f8_dow_cos,0.03853448156331544,-0.03853448156331544
f11_dxy_5d_change,0.03595959604322294,0.03595959604322294
f11_china_pmi_level,0.035958375617768726,0.035958375617768726
f2_vol_20,0.03560358169523132,0.03560358169523132
f1_hilo_pos_10,0.035224744136020655,-0.035224744136020655
f1_dist_ma_sigma_10,0.033531960418723285,-0.033531960418723285
f6_macd_12_26,0.03058006345542526,0.03058006345542526
f11_be_5d_change,0.0296395985643723,0.0296395985643723
f6_macd_hist_12_26_9,0.02908993760873343,0.02908993760873343
f11_baltic_dry_z,0.029054598248306182,0.029054598248306182
f1_hilo_pos_20,0.02893458996079768,0.02893458996079768
hmm_macro_p0,0.0281180739194793,0.0281180739194793
f8_month_sin,0.027621032342142304,0.027621032342142304
f7_oi_z_20,0.027334096236304745,0.027334096236304745
f6_ts_momentum_20,0.026201159875981348,-0.026201159875981348
f1_mr_score_20,0.02604382793381709,-0.02604382793381709
hmm_macro_entropy,0.024988801785053992,-0.024988801785053992
f12_mra_energy_D1,0.02490857787169066,0.02490857787169066
f1_bb_bandwidth_20,0.024493096062364567,0.024493096062364567
f7_oi_level,0.02434257954445188,0.02434257954445188
f6_ts_momentum_60,0.023376636099275514,0.023376636099275514
f1_rsi_14,0.022563492445015935,-0.022563492445015935
f4_pc2,0.022143374384001997,0.022143374384001997
f2_atr_14,0.022131949539251492,0.022131949539251492
f2_ret_skew_60,0.022030573720322234,0.022030573720322234
f4_pc3,0.0206995890377349,0.0206995890377349
f13_path_tortuosity_20d,0.020415343979435324,0.020415343979435324
f1_hilo_pos_40,0.01895989505405453,-0.01895989505405453
f5_long_bias_20,0.018863465718177798,0.018863465718177798
f10_oto_ret_mean_20,0.01728800878590727,-0.01728800878590727
f1_mr_score_40,0.015450726292319384,0.015450726292319384
f11_copper_stock_z,0.0143114988771717,0.0143114988771717
f10_hl_range_mean_20,0.013238101121237649,0.013238101121237649
f11_hy_oas_5d_change,0.012845216052723629,-0.012845216052723629
f2_vol_10,0.012812126790949657,0.012812126790949657
f1_ret_reversal_40,0.011511774143642944,-0.011511774143642944
f4_pc1,0.010806790756756252,-0.010806790756756252
f7_oi_price_div_20,0.01018094034295358,0.01018094034295358
f10_oto_ret,0.009925563565918264,-0.009925563565918264
f6_ma_cross_20_60,0.009816584640718534,-0.009816584640718534
f2_vol_ratio_20_60,0.009538166320709458,-0.009538166320709458
f1_ret_reversal_20,0.00944456875150931,0.00944456875150931
f10_hl_range,0.008105670501215526,-0.008105670501215526
f1_ret_reversal_10,0.007443121077679773,0.007443121077679773
f8_month_cos,0.0074370585609334116,0.0074370585609334116
f5_trailing_run_length,0.005734981514771483,-0.005734981514771483
f2_garman_klass_20,0.005629421368531364,-0.005629421368531364
f11_us_2s10s_slope,0.005604476058295499,0.005604476058295499
f1_dist_ma_sigma_20,0.004163051709708704,-0.004163051709708704
f2_ret_kurt_60,0.004082135888301942,0.004082135888301942
f11_vix_level_z,0.003775464117686751,-0.003775464117686751
f11_global_pmi_breadth,0.003650286506889654,-0.003650286506889654
f7_volume_trend_20,0.0034028015634581374,0.0034028015634581374
f8_dow_sin,0.0030874903121558867,-0.0030874903121558867
f11_breakeven_10y,0.0029285251162354986,0.0029285251162354986
f11_crude_stock_surprise,0.0028419429971327423,-0.0028419429971327423
f1_bb_pctb_20,0.0027316453466450304,-0.0027316453466450304
f4_pc4,0.0024018714222908124,-0.0024018714222908124
f11_ng_stock_surprise,0.002190225626122677,0.002190225626122677
f2_parkinson_20,0.002155645790618263,0.002155645790618263
f1_dist_ma_sigma_40,0.0010947762102066245,0.0010947762102066245
f12_mra_energy_D4,0.0004453645738090602,-0.0004453645738090602
