feature,cluster,mean_coef_abs,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f2_vol_10,C4_f2,0.012812126790949657,0.3023313266688465,0.6648413536613954,0.1553867427805062,0.1409272133647412,-0.06915965436244902,0.06516468937927755
f2_vol_20,C4_f2,0.03560358169523132,0.34687475296306614,0.6648413536613954,0.13588794101391447,0.1409272133647412,0.1650405202393927,0.06516468937927755
f2_vol_60,C4_f2,0.08547231887556957,0.31370209152694045,0.6648413536613954,-0.269550057216393,0.1409272133647412,0.33443253067457457,0.06516468937927755
f2_vol_of_vol_20,C4_f2,0.045573079732075576,0.28427159722665946,0.6648413536613954,-0.18498762961757034,0.1409272133647412,0.6365351600866984,0.06516468937927755
f2_parkinson_20,C4_f2,0.002155645790618263,0.3399393787314342,0.6648413536613954,0.2677005866915231,0.1409272133647412,-0.009283589381624819,0.06516468937927755
f2_garman_klass_20,C4_f2,0.005629421368531364,0.3328712223814208,0.6648413536613954,0.2903082674757782,0.1409272133647412,-0.03338114864665262,0.06516468937927755
f2_atr_14,C4_f2,0.022131949539251492,0.25975492797775934,0.6648413536613954,0.3518444295115846,0.1409272133647412,-0.3471288418505433,0.06516468937927755
f7_oi_level,C4_f2,0.02434257954445188,-0.21763799353097737,0.6648413536613954,0.44817810063129404,0.1409272133647412,0.30850670196424473,0.06516468937927755
f10_hl_range_mean_20,C4_f2,0.013238101121237649,0.3500946231314331,0.6648413536613954,0.21866924451789757,0.1409272133647412,-0.01630214984480843,0.06516468937927755
f11_move_vix_ratio,C4_f2,0.040577676637888284,-0.26422468798921056,0.6648413536613954,0.34608008476264757,0.1409272133647412,0.47889449886291036,0.06516468937927755
f11_ust_bund_spread,C4_f2,0.05319786248523269,-0.27472249603158394,0.6648413536613954,0.4498038471236616,0.1409272133647412,0.06689869982836798,0.06516468937927755
