feature,shap_magnitude,shap_signed,mdi
f11_bund_10y_5d_change,0.04099872704225491,0.0021361798327944204,0.025580743
f11_gasoline_stock_surprise,0.02669003403130615,-0.021528309468513467,0.014520251
f11_vix_term_slope,0.022648596956799872,0.02229122334196987,0.019153986
f2_ret_kurt_60,0.02067897327470371,0.017511206145758303,0.02303036
f2_atr_14,0.019981521290016204,-0.01806440222341584,0.014528694
f7_volume_z_20,0.01939848385972439,0.0008571251067823418,0.010471392
f5_sign_agree_mr,0.015209312025105757,-0.004924909638082736,0.008624283
f6_ts_momentum_60,0.01488033096907244,0.005753016305855186,0.021455975
f2_ret_skew_60,0.01417450350078811,0.0013440935331304393,0.013351587
f11_real_yield_10y,0.01353353786474214,-0.0013670592395182896,0.012336711
f7_oi_z_20,0.01264510651644484,-0.0011552623109074751,0.010891196
f11_dxy_z,0.012499837634877999,-0.009127542587125198,0.013908734
f5_signal,0.011054987863247727,0.004121605956642115,0.016068026
f2_parkinson_20,0.009814728352293696,0.004384701447436534,0.012196059
f2_vol_60,0.009337382680829346,-0.0013935231597366625,0.019574555
f6_ma_cross_20_60,0.009188352311408627,0.006312124507351752,0.019255806
f11_dist_stock_surprise,0.008899711611358257,-0.0015871132255451416,0.013308704
f4_pc1,0.008852614104940426,-0.0009695127342878307,0.0061326353
f11_hy_oas_z,0.008660313766597408,0.0014881508711180518,0.011241043
f12_mra_energy_D2,0.008308301944192983,-0.002582130238357803,0.010005615
f11_dxy_5d_change,0.008080078058717109,-0.0024555730184792355,0.0062455432
f2_vol_of_vol_20,0.007584350772898947,-0.003385188084094481,0.016695445
f11_copper_stock_z,0.007546785415894013,-0.002018661470793714,0.014820685
f11_crude_stock_surprise,0.007541325197922323,-0.0011167537981473772,0.011922438
f13_path_tortuosity_20d,0.0074702936736618115,0.0029114483592965344,0.009140169
f5_participation_20,0.007456925613420902,-0.001454436511230201,0.008388052
f11_baltic_5d_change,0.007316372201902182,0.0010982302883747873,0.006987336
f7_oi_change,0.006953040145459563,0.003323116517590104,0.0051543117
f1_mr_score_10,0.006902109952922365,0.001752809092071325,0.011442681
f4_pc3,0.006889511455756956,0.0003601574573541845,0.012405049
hmm_vol_p0_calm,0.00682421112814194,-0.0032797863490952412,0.013734897
f1_mr_score_20,0.006719447139119077,8.534422511044933e-05,0.011589024
f11_be_5d_change,0.006483329611012644,0.0016002696734862014,0.011449611
f10_hl_range_mean_20,0.0063611743758415756,0.0010359990704597627,0.012328724
f1_bb_bandwidth_20,0.006175445341684458,0.0036007046189511474,0.012860959
hmm_macro_entropy,0.0058257625717041345,0.0009407000439232774,0.017896509
f5_trailing_run_length,0.0058050800727787785,0.0036297856305687404,0.0108970385
f10_hl_range,0.005744946340085303,-0.004878652364899784,0.0049871216
f11_eurusd_5d_change,0.005672434528332146,-0.0026909439479239653,0.008575621
f2_vol_20,0.005573060363590809,-0.005057778266330928,0.01165611
f2_vol_ratio_20_60,0.005493487766306622,-0.0019747679265952603,0.009724849
f10_oto_ret,0.005412600114069446,-0.0026110076579936524,0.009289485
f1_dist_ma_sigma_20,0.0054054621241607665,-0.00039656347135740325,0.010171629
f13_realized_semi_vol_ratio,0.005385280275417337,0.000854966369929206,0.012735921
f6_macd_hist_12_26_9,0.005147647553076715,-0.0009510937798212951,0.00922896
f1_ret_reversal_40,0.004960133661241661,0.002599594107571905,0.01450118
f11_baltic_dry_z,0.004948611043916227,0.0017913760611820552,0.008655986
f11_ig_oas_z,0.004936391216102499,-0.0002579018589977123,0.0092854975
f7_oi_price_div_20,0.004855831637406936,0.0012734788459573183,0.006515214
f2_vol_10,0.004777947297953362,-0.0019298844956541457,0.016402414
f4_pc2,0.00465415465659441,-0.0009917883235622262,0.013244975
f5_long_bias_20,0.004635810593685814,0.0016138325566067838,0.011486605
f1_hilo_pos_40,0.0046022454095805375,-0.0004817707000637309,0.008009143
f11_ust_10y_5d_change,0.004506039004490339,0.0004926449466244636,0.008969308
f7_volume_trend_20,0.004474636080648566,0.001344362853973233,0.0066065183
f2_vol_pctile_20,0.004406331988044836,0.0009982758264248507,0.018385224
f6_adx_14,0.004314906748474998,-0.003171761660900095,0.0077726073
f11_hy_oas_5d_change,0.004299172301075241,0.0022454268232829683,0.009095361
f12_mra_energy_D5,0.00417775308539829,-0.0016544762897013061,0.006476669
f11_breakeven_10y,0.0037864597540098266,0.0011287021296128728,0.011885022
f1_dist_ma_sigma_40,0.0035282723538710885,0.00022991087130032675,0.007466956
f6_ts_momentum_20,0.003520294487202788,-0.0007327879584442182,0.007017248
hmm_vol_entropy,0.00350561760594203,-0.0022117655815686757,0.0045565837
f11_us_2s10s_slope,0.0033685249301912065,0.0023234660902991117,0.015516401
f11_hy_ig_ratio,0.003316067495429848,-0.0009695861859533283,0.015235392
f11_move_z,0.0032513600149488347,-0.0017648292241058648,0.011529213
f1_dist_ma_sigma_10,0.0032260604510183674,0.001591410798955071,0.005614546
f11_move_vix_ratio,0.003165133946807249,0.0010025460847297525,0.012177183
f7_oi_level,0.00316269439485564,-0.0009694572729920588,0.007107923
f12_mra_energy_D4,0.003157221004170911,0.0008213248133647245,0.0057817
f15_ewma_implied_corr_z,0.0030087035163935366,0.0012435863675452378,0.010849136
f1_rsi_14,0.00292090357768846,-8.199096739099192e-05,0.0090994835
f11_skew_z,0.0028773854842845475,-0.00016734777948807688,0.0046038097
f11_ust_bund_spread,0.0028044787179712523,0.00023215547287221301,0.010697978
f12_mra_energy_D3,0.002784074724373703,-0.000623823694928783,0.009305185
hmm_vol_p2_turbulent,0.0026489387819947944,-0.001696409951494061,0.008573147
f6_macd_12_26,0.0026176480588717354,-0.000250391163324745,0.012898147
f11_ng_stock_surprise,0.0025442385433794364,0.0008901038746619378,0.00933189
f11_vix_5d_change,0.0022669919201195763,0.00039965747180657264,0.00674387
f1_bb_pctb_20,0.0020890162742367006,0.0008841329763476694,0.007206639
f11_vix_level_z,0.0020668669040314214,-0.00011601753364232865,0.00498801
f4_pc4,0.0018575065527588921,0.0010010695547818715,0.009727565
hmm_macro_p0,0.0018573849291025856,3.273434607188726e-05,0.0042833807
f10_oto_ret_mean_20,0.0018493558488868159,0.0009962850339630244,0.0032894826
f12_mra_energy_D1,0.0018125067634252089,0.00036210596244044097,0.0095939925
f1_ret_reversal_20,0.0017891333622972383,0.0005671548630574903,0.005549507
f8_month_cos,0.001784150387306197,0.0017119540712561736,0.0021727139
f1_ret_reversal_10,0.0017366757419990065,-0.00047286387121944524,0.0046216315
f1_hilo_pos_10,0.0015948042196096558,8.432397286173504e-05,0.003092878
f1_hilo_pos_20,0.0013712390527298275,0.0003187575196482416,0.005392826
