K,silhouette,calinski_harabasz,davies_bouldin
3,0.1081006430122209,2.7248890716451704,1.9483421700889128
4,0.0885338780256536,1.7952210568109503,2.0682585982058144
5,0.1005855219314511,1.3319365709111326,4.2570148373569
6,0.1107907324955943,1.0543938312934125,7.869616331912387
7,0.1214313322580599,0.8716035465645979,7.3013817106063215
8,0.1153653023103478,1.7425258671581048,6.701025131249
9,0.1213979597845821,1.5056512917183007,3.952451051722143
10,0.1409884486755759,1.3224165314789835,3.772357662574316
11,0.1481055720336018,1.18063768344751,3.7009715102834946
12,0.1660729191832443,1.059367933255012,3.625861277660553
13,0.1731847722504349,0.9583098082185648,3.438699891715169
14,0.1650784910274795,0.8727990935615914,3.5104991265160623
15,0.1735142783269441,0.8205815051647977,3.4297636179955124
