cluster,mean_drop,std_drop,significant
C2_f1,0.03490054290634759,0.0767374952597176,False
C9_f11_lowfreq_macro,0.015914598399105414,0.030559007337468844,False
C3_f2,0.015268437119932674,0.058345228773426294,False
C10_f7,0.013531092478252715,0.03462900429276694,False
C6_f12,0.013047777687276314,0.022322901255891796,False
C1_f1,0.013030627982255105,0.03665511825778075,False
C5_f11,0.010748237413370524,0.060512649101408515,False
C4_hmm_vol,0.00913180077585522,0.03909709599252616,False
C11_f7,0.007918234196124661,0.018843574242799175,False
F_instrument,0.000307692307692311,0.0011916871834484488,False
F8_calendar,0.00026546003016590826,0.001349151557984374,False
C8_f11_lowfreq_macro,-0.001109940056187517,0.005577157808063032,False
F4_latent,-0.002306839835845923,0.023070799014308172,False
C7_f11,-0.0031362053848222613,0.045497674801792246,False
C12_f13,-0.0059720454390104856,0.022634092714210942,False
F5_signal,-0.013923570809043516,0.032695120765093816,False
C13_f11,-0.015928918329941366,0.03453642851857325,False
