cluster,mean_drop,std_drop
C10_f7,0.09250769600769604,0.04973374918616058
C6_f11,0.00992179302179306,0.02888489435978721
C8_f11_lowfreq_macro,0.008847063430396793,0.013411230246850871
C9_f7,0.007595982720982758,0.008303600341415146
C15_f11,0.005998836965503666,0.009646214873568952
C2_f1,0.005914388389388435,0.019024226255252023
F4_latent,0.004903370703370735,0.025653996609629196
C7_f11,0.004861448428115129,0.009289326041169638
C11_f11,0.0035547424797425183,0.010648795133182688
C4_f2,0.0029302836052836462,0.01694781593234863
C12_f11,0.0023932456432456785,0.005959110202399882
C1_f1,0.0021389382222715926,0.007378432587431599
C3_f2,0.0017783330866664442,0.0037489781819816277
F5_signal,0.0007616571699905452,0.004973208499200179
C13_f11_lowfreq_macro,-0.0006401570651570398,0.006852771528451373
F8_calendar,-0.0007568943402276606,0.006051206643738484
C14_f13,-0.001053222703222683,0.007174660526713383
C5_f11,-0.0017012450512450205,0.007081781364936572
