K,silhouette,calinski_harabasz,davies_bouldin
3,0.0964023767210125,0.4195180417145708,14.245607884214287
4,0.10567697994415436,0.5072299856748727,11.344771404047027
5,0.11564912389506184,0.37548193744769426,3.747392994262408
6,0.1312363385663406,2.3168203737040987,3.5559488756612923
7,0.14240985701641143,1.9049411961576417,3.913099124027378
8,0.15597431425545202,5.114457266423195,3.846828620321777
9,0.1491601135970028,4.413846681981743,4.3271647615654905
10,0.1588435151173881,3.868927338527848,4.104647910620548
11,0.1607069693376367,3.4329918637641477,4.062175188198463
12,0.1518205643142461,3.0763173844120475,3.8750742957185715
13,0.1572276447384656,2.7790886516210227,3.7201636099441
14,0.16303967438939637,2.5275874161802068,3.7745298579963777
15,0.16966619532625032,2.3120149286595066,3.6372527899093288
