date,instrument,f9_xsect_rank,f9_xsection_universe_size,f9_pair_corr_mean,f9_dist_lead_lag_centroid,f9_asset_class_dispersion_z,f9_ewma_implied_corr_z
2020-01-03,es1s,0.6000000000000001,11.0,0.8308606315919141,,-0.852262669059997,-1.640614546644452
2020-01-06,es1s,0.6000000000000001,11.0,0.8301042509261595,,1.4646309477396702,-1.6404236168423445
2020-01-07,es1s,0.6000000000000001,11.0,0.8295066889827784,,0.33006546531267605,-1.6626755989156083
2020-01-08,es1s,-0.19999999999999996,11.0,0.8295167090468916,,1.015032664476973,-2.3675050111683675
2020-01-09,es1s,-0.19999999999999996,11.0,0.8310823535467103,,-0.8005272715024909,-2.3600586637911567
2020-01-10,es1s,-0.19999999999999996,11.0,0.8308148456816069,,-0.4392380713255778,-2.4192999863605196
2020-01-13,es1s,-0.4,11.0,0.8291389459146735,,3.956310259692659,-2.6162612557262257
2020-01-14,es1s,-0.19999999999999996,11.0,0.8291574378083015,,-0.6729666629100477,-2.5398422032856387
2020-01-15,es1s,-0.19999999999999996,11.0,0.8285935036641128,,-0.4505014185615139,-2.471005912419165
2020-01-16,es1s,-0.19999999999999996,11.0,0.8281837998195242,,0.6777891178264631,-2.599195638183509
2020-01-17,es1s,-0.19999999999999996,11.0,0.8283040635865999,,0.48862475522083776,-2.5456487680312114
2020-01-21,es1s,-0.19999999999999996,11.0,0.8277534110857159,,-0.6465884393986713,-2.220799512714064
2020-01-22,es1s,-0.19999999999999996,11.0,0.8268023401910978,,1.0854264573031038,-2.1535723567866913
2020-01-23,es1s,-0.4,11.0,0.824617605025747,,3.0019456646780207,-2.1912011231220756
2020-01-24,es1s,-0.4,11.0,0.8183079216182174,,4.879681383683083,-1.902287028033169
2020-01-27,es1s,-0.19999999999999996,11.0,0.8253966437367339,,1.039930367883437,-0.7627063051758358
2020-01-28,es1s,-0.4,11.0,0.832931435438885,,0.3816218265349486,-0.7614238179393766
2020-01-29,es1s,-0.6,11.0,0.8395093778291431,,0.7150097328243473,-0.7612085488468696
2020-01-30,es1s,-0.6,11.0,0.8193025778295872,,4.464581139306341,-0.9430647114148545
2020-01-31,es1s,-0.4,11.0,0.836002626515524,,1.5717745759975443,-0.8233243125230061
2020-02-03,es1s,-0.6,11.0,0.8358906489770526,,0.6800601547947241,-1.0834045413895628
2020-02-04,es1s,-0.8,11.0,0.8347514926665096,,0.8805004599730964,-1.1455613910774765
2020-02-05,es1s,-0.8,11.0,0.8303358801072027,,0.9329653120356657,-0.6860021297345713
2020-02-06,es1s,-0.8,11.0,0.8346363762170013,,-0.08613585588320373,-0.6673280565510775
2020-02-07,es1s,-0.8,11.0,0.8331027523850042,,-0.25930476756858056,-0.6423405697549626
2020-02-10,es1s,-0.8,11.0,0.8155704782545973,,1.52503562005096,-0.798655946331271
2020-02-11,es1s,-0.8,11.0,0.8141493743859352,,0.8024247938018515,-0.823951482718225
2020-02-12,es1s,-0.8,11.0,0.8109449981241013,,-0.2640622883743081,-0.6281325210046186
2020-02-13,es1s,-0.8,11.0,0.8082815502560118,,-0.7797149594208906,-0.6689233478655641
2020-02-14,es1s,-0.8,11.0,0.8041499354785555,,-0.8456530097211348,-0.6754261178202352
2020-02-18,es1s,-0.4,11.0,0.8011173751419769,,-0.06603326818915409,-0.9609406878748631
2020-02-19,es1s,0.0,11.0,0.8015878388122292,,-0.26097829142584794,-0.8141342375528389
2020-02-20,es1s,0.19999999999999996,11.0,0.8060605612332217,,0.05091260880110727,-0.7309946871106091
2020-02-21,es1s,0.0,11.0,0.8104196647272455,,0.5213020106667822,-0.8315958450988105
2020-02-24,es1s,0.19999999999999996,11.0,0.849509292258146,,-0.0033499363643980347,0.04956393011782283
2020-02-25,es1s,0.19999999999999996,11.0,0.8565359527814707,,0.5388374247608428,1.48940874974947
2020-02-26,es1s,0.3999999999999999,11.0,0.8507842414634539,,0.4198746506726578,1.55928864810425
2020-02-27,es1s,0.6000000000000001,11.0,0.8696580423680841,,2.862183330563323,1.8466013227791331
2020-02-28,es1s,0.6000000000000001,11.0,0.8415179972289137,,5.753132696312974,1.4571583115556968
2020-03-02,es1s,-0.19999999999999996,11.0,0.8295663959322312,,3.1955582285810213,2.409904864202042
2020-03-03,es1s,0.6000000000000001,11.0,0.8162646044535751,,2.5695147678667976,1.800093937724163
2020-03-04,es1s,0.3999999999999999,11.0,0.8191254562842816,,1.6014632914289537,1.764047142856765
2020-03-05,es1s,0.3999999999999999,11.0,0.8200586605811127,,1.2163652891618524,1.791138166736169
2020-03-06,es1s,0.19999999999999996,11.0,0.8215271258328298,,1.8370863112170919,1.6605240745327663
2020-03-09,es1s,0.19999999999999996,11.0,0.8721421169487302,,0.6786960943202867,2.861974239742482
2020-03-10,es1s,0.19999999999999996,11.0,0.8341089959501666,,5.093596227399374,2.884564325503555
2020-03-11,es1s,0.19999999999999996,11.0,0.8254209471542602,,2.2755838427173325,2.8568828074584007
2020-03-12,es1s,0.19999999999999996,11.0,0.8846633653175158,,0.5230635191949858,3.963118668726491
2020-03-13,es1s,0.0,11.0,0.8430238454885693,,5.419425014455628,2.0178165937625234
2020-03-16,es1s,0.0,11.0,0.8543437103939293,,2.792715515002315,3.2321888454952754
2020-03-17,es1s,-0.19999999999999996,11.0,0.85758819733931,,0.27325829822743164,2.905438490832733
2020-03-18,es1s,-0.19999999999999996,11.0,0.8602756375972845,,0.7936403360303187,2.867672718487374
2020-03-19,es1s,-0.19999999999999996,11.0,0.8544287702412624,,0.9512117338201191,2.6062493767584245
2020-03-20,es1s,-0.19999999999999996,11.0,0.8301772247680541,,3.2728111415722436,2.384655850331173
2020-03-23,es1s,0.0,11.0,0.8285198344293543,,0.7968056928190116,1.9923076493732992
2020-03-24,es1s,-0.19999999999999996,11.0,0.8528978412664519,,-0.01576742414028908,2.855410584418014
2020-03-26,es1s,-0.4,11.0,0.849713542796964,,1.0261629204550329,2.46647834421445
