date,instrument,f8_dow_sin,f8_dow_cos,f8_month_sin,f8_month_cos
2020-01-03,es1s,-0.433883739117558,-0.9009688679024191,0.0,1.0
2020-01-06,es1s,0.0,1.0,0.0,1.0
2020-01-07,es1s,0.7818314824680298,0.6234898018587336,0.0,1.0
2020-01-08,es1s,0.9749279121818236,-0.22252093395631434,0.0,1.0
2020-01-09,es1s,0.43388373911755823,-0.900968867902419,0.0,1.0
2020-01-10,es1s,-0.433883739117558,-0.9009688679024191,0.0,1.0
2020-01-13,es1s,0.0,1.0,0.0,1.0
2020-01-14,es1s,0.7818314824680298,0.6234898018587336,0.0,1.0
2020-01-15,es1s,0.9749279121818236,-0.22252093395631434,0.0,1.0
2020-01-16,es1s,0.43388373911755823,-0.900968867902419,0.0,1.0
2020-01-17,es1s,-0.433883739117558,-0.9009688679024191,0.0,1.0
2020-01-21,es1s,0.7818314824680298,0.6234898018587336,0.0,1.0
2020-01-22,es1s,0.9749279121818236,-0.22252093395631434,0.0,1.0
2020-01-23,es1s,0.43388373911755823,-0.900968867902419,0.0,1.0
2020-01-24,es1s,-0.433883739117558,-0.9009688679024191,0.0,1.0
2020-01-27,es1s,0.0,1.0,0.0,1.0
2020-01-28,es1s,0.7818314824680298,0.6234898018587336,0.0,1.0
2020-01-29,es1s,0.9749279121818236,-0.22252093395631434,0.0,1.0
2020-01-30,es1s,0.43388373911755823,-0.900968867902419,0.0,1.0
2020-01-31,es1s,-0.433883739117558,-0.9009688679024191,0.0,1.0
2020-02-03,es1s,0.0,1.0,0.49999999999999994,0.8660254037844387
2020-02-04,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2020-02-05,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2020-02-06,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2020-02-07,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2020-02-10,es1s,0.0,1.0,0.49999999999999994,0.8660254037844387
2020-02-11,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2020-02-12,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2020-02-13,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2020-02-14,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2020-02-18,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2020-02-19,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2020-02-20,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2020-02-21,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2020-02-24,es1s,0.0,1.0,0.49999999999999994,0.8660254037844387
2020-02-25,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2020-02-26,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2020-02-27,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2020-02-28,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2020-03-02,es1s,0.0,1.0,0.8660254037844386,0.5000000000000001
2020-03-03,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2020-03-04,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2020-03-05,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2020-03-06,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2020-03-09,es1s,0.0,1.0,0.8660254037844386,0.5000000000000001
2020-03-10,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2020-03-11,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2020-03-12,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2020-03-13,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2020-03-16,es1s,0.0,1.0,0.8660254037844386,0.5000000000000001
2020-03-17,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2020-03-18,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2020-03-19,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2020-03-20,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2020-03-23,es1s,0.0,1.0,0.8660254037844386,0.5000000000000001
2020-03-24,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2020-03-26,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2020-03-30,es1s,0.0,1.0,0.8660254037844386,0.5000000000000001
2020-04-01,es1s,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2020-04-02,es1s,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2020-04-03,es1s,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2020-04-06,es1s,0.0,1.0,1.0,6.123233995736766e-17
2020-04-07,es1s,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2020-04-08,es1s,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2020-04-09,es1s,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2020-04-14,es1s,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2020-04-15,es1s,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2020-04-16,es1s,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2020-04-17,es1s,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2020-04-20,es1s,0.0,1.0,1.0,6.123233995736766e-17
2020-04-21,es1s,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17
2020-04-22,es1s,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2020-04-23,es1s,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2020-04-24,es1s,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17
2020-04-29,es1s,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
2020-04-30,es1s,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17
2020-05-01,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2020-05-04,es1s,0.0,1.0,0.8660254037844387,-0.4999999999999998
2020-05-05,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
2020-05-06,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2020-05-07,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2020-05-11,es1s,0.0,1.0,0.8660254037844387,-0.4999999999999998
2020-05-12,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
2020-05-13,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2020-05-14,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2020-05-15,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2020-05-18,es1s,0.0,1.0,0.8660254037844387,-0.4999999999999998
2020-05-20,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2020-05-21,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2020-05-22,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2020-05-26,es1s,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
2020-05-27,es1s,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
2020-05-28,es1s,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
2020-05-29,es1s,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
2020-06-01,es1s,0.0,1.0,0.49999999999999994,-0.8660254037844387
2020-06-02,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2020-06-03,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
2020-06-04,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
2020-06-05,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2020-06-08,es1s,0.0,1.0,0.49999999999999994,-0.8660254037844387
2020-06-09,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2020-06-10,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
2020-06-11,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
2020-06-12,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
2020-06-15,es1s,0.0,1.0,0.49999999999999994,-0.8660254037844387
2020-06-16,es1s,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
2020-06-17,es1s,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
2020-06-18,es1s,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
2020-06-19,es1s,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
