date,instrument,f3_gmm_prob_highvol,f3_markov_prob_highvol,f3_markov_switch_prob,f3_regime_dwell
2020-01-03,es1s,0.020102287872292565,0.025918999796206446,0.007208494058805873,57.0
2020-01-06,es1s,0.012517214115363025,0.015907853487590447,0.010011146308616,58.0
2020-01-07,es1s,0.014018045305750798,0.013889893601836859,0.0020179598857535883,59.0
2020-01-08,es1s,0.017978176740806644,0.01749543975203868,0.003605546150201821,60.0
2020-01-09,es1s,0.014167946149890311,0.014529100099850367,0.002966339652188312,61.0
2020-01-10,es1s,0.014029538349826736,0.014346114199312894,0.0001829859005374728,62.0
2020-01-13,es1s,0.01719515903663599,0.017576549002139542,0.003230434802826648,63.0
2020-01-14,es1s,0.012359766850794601,0.013094473465127819,0.004482075537011724,64.0
2020-01-15,es1s,0.012656953567281396,0.011251719090974967,0.0018427543741528513,65.0
2020-01-16,es1s,0.01608393429625736,0.014625904007884102,0.0033741849169091342,66.0
2020-01-17,es1s,0.012551931074500955,0.011971520129127021,0.0026543838787570807,67.0
2020-01-21,es1s,0.012795553479220236,0.011678369139923659,0.0002931509892033623,68.0
2020-01-22,es1s,0.012328215205095637,0.01084257260027469,0.0008357965396489694,69.0
2020-01-23,es1s,0.012370966072111297,0.010498642907247342,0.0003439296930273471,70.0
2020-01-24,es1s,0.026024166149751334,0.03303155908161838,0.02253291617437104,71.0
2020-01-27,es1s,0.09218138283132811,0.28787320245512166,0.2548416433735033,72.0
2020-01-28,es1s,0.02319063906443541,0.3098747163080326,0.022001513852910937,73.0
2020-01-29,es1s,0.010192794885111987,0.14598355919161826,0.16389115711641433,74.0
2020-01-30,es1s,0.010988498187087577,0.0711922312141372,0.07479132797748106,75.0
2020-01-31,es1s,0.2370222645958443,0.7470640056974363,0.675871774483299,1.0
2020-02-03,es1s,0.012469417814920001,0.5528844065298373,0.19417959916759897,2.0
2020-02-04,es1s,0.06063813679810242,0.8097143014743213,0.25682989494448405,3.0
2020-02-05,es1s,0.021709252367735604,0.7574408390531115,0.05227346242120978,4.0
