date,instrument,f12_autocorr_21,f12_efficiency_ratio_21,f12_variance_ratio_5_21,f12_trend_tval_10,f12_trend_tval_21,f12_trend_tval_42,f12_hurst_100,f12_ma21_slope,z_f12_ma21_slope
2020-01-03,es1s,-0.3116466596957921,0.5412896440282868,0.41109107033813863,2.3548067919812965,13.762904169307255,17.328623256240803,0.5014599420284559,0.4733230031561108,1.9086840339436817
2020-01-06,es1s,-0.29717991703203134,0.5178746963323447,0.4653599126607371,1.8200911367971444,12.27472321526349,17.631808558897053,0.472077668054811,0.4430363977371915,1.765868745854931
2020-01-07,es1s,-0.3254338557706422,0.45519911485830056,0.46476880724689373,1.1791937048479895,10.28638649217053,17.481805377184134,0.539256751875141,0.3810024310524757,1.4743098393838914
2020-01-08,es1s,-0.29816197482089773,0.4458450573140225,0.4553013119959889,1.6272079123980532,10.071391510511914,17.659538506778244,0.5463458235914174,0.37798729843622353,1.4597557133624637
2020-01-09,es1s,-0.26584954301418595,0.5477254379470038,0.49200000945173405,2.0805392399282807,10.114548507698785,18.03351977614867,0.5447218189989903,0.484816711612023,1.9601963508139593
2020-01-10,es1s,-0.2940852502861566,0.479447404477073,0.38562469066351945,3.142584864196421,10.042028590812592,18.42924732409548,0.5629792772362616,0.4231136721826794,1.6701766633428479
2020-01-13,es1s,-0.3712259177522959,0.5119197170686075,0.3245837734192316,4.372866662580542,10.866384057116113,18.67927536640496,0.5807161643994069,0.4641691032447756,1.8620079662989646
2020-01-14,es1s,-0.3976057964831701,0.4529034187324244,0.3477663847426542,4.415093491036506,10.92908217874763,19.01933441444936,0.5669602997846785,0.39089770897691106,1.5179651083924508
2020-01-15,es1s,-0.4043376593293966,0.45623811363340555,0.3382559747843001,4.485198970296906,11.084886714054115,19.37972332634734,0.5692452982105132,0.39621541822704504,1.5424380330067187
2020-01-16,es1s,-0.368023020745021,0.45550835497716363,0.31343522577654465,9.256757271312864,10.793448434706615,19.56766305966734,0.6513638487437206,0.3976951030282771,1.5489095509244832
2020-01-17,es1s,-0.35345776931005085,0.4895118198538451,0.3908038431448284,9.947799857358252,10.519092544576052,20.618241532098263,0.6466742780986696,0.4397263872661856,1.745315431400433
2020-01-21,es1s,-0.35209048839985974,0.4519723940687077,0.378349634215589,9.310039232223668,10.57295832856518,22.059789233782443,0.6537121392278163,0.4013239946295778,1.5648515946638324
2020-01-22,es1s,-0.35360235172391474,0.4250386971340608,0.35874958222471526,7.988475658795583,10.828845261419998,23.26905877571926,0.6400917995748922,0.3609972784199116,1.375518472096614
2020-01-23,es1s,-0.35074253984494624,0.4062003782119834,0.368465203225236,6.918620258725908,11.799314636853556,23.814175053002195,0.6173922769893346,0.338099150477201,1.267928160353648
2020-01-24,es1s,-0.32006976964044886,0.23991369078646263,0.3519770017986442,2.6076339361656053,9.892893706708373,22.53216892739286,0.6446903966504048,0.19393215435096553,0.5923430000370535
2020-01-27,es1s,0.0997476070852803,0.042211845016802946,0.5548769245035592,-0.502084998133956,4.858226743025535,17.292444423936,0.675860117976707,0.03190371941897882,-0.16689212069516973
2020-01-28,es1s,-0.15186055714860164,0.09684074041983497,0.5733371211446164,-1.2004212889704777,4.258972634327465,16.340144610811553,0.6171966344489791,0.07358859866177862,0.028453630059841833
2020-01-29,es1s,-0.188414688678648,0.1010063487665576,0.6586433414652183,-2.2208838749594317,3.4442725528707405,15.35055105903741,0.6525067685472069,0.07636131204063214,0.041444906321202055
2020-01-30,es1s,-0.1924156601495274,0.18945615066149188,0.7220880700965084,-2.7493878470076965,2.871205942799534,15.18907325704575,0.664505275799958,0.14487111322478333,0.3625235051430562
2020-01-31,es1s,-0.26062705142587494,0.017316951422912168,0.5975644478926362,-3.64960155125934,1.2103273635559597,12.041509057164115,0.6783926554248352,-0.01258743046480138,-0.3755249912473688
2020-02-03,es1s,-0.2865677081852396,0.03367580766631387,0.601241433296789,-3.6267089923803555,0.562218204328605,10.371333210831901,0.6502892932378277,-0.024571850798566258,-0.43166099063506363
2020-02-04,es1s,-0.16937655262967147,0.14779924213415524,0.520661528287882,-1.68305570343384,0.2975283707819571,10.04073665167742,0.6279202813134436,0.10816613074839947,0.19062221526391185
2020-02-05,es1s,-0.044818151567164864,0.1976395150119521,0.5294789682135105,0.007091195637879171,0.426597449967732,9.99241969987003,0.6871033126160626,0.14997316770372932,0.38659894261181005
