date,instrument,f7_volume_z_20,f7_volume_trend_20,f7_oi_level,f7_oi_change,f7_oi_z_20,f7_oi_price_div_20,f7_amihud_20,f7_rolls_spread_20,f7_kyles_lambda_20,f7_overnight_gap,z_f7_amihud_20,z_f7_oi_level,z_f7_oi_change,z_f7_kyles_lambda_20,z_f7_rolls_spread_20,z_f7_overnight_gap
2020-01-03,es1s,1.074129556317657,0.39576687803228117,3151857.27702502,-48619.09986299975,0.5020463355990709,1.0,2.7500902649659224e-09,12.580810087689814,3.142685717855453e-06,0.0006134969525366853,-0.28736604025485935,0.7447273574726453,-0.1748640719132287,-0.495738392876915,0.9153398362487909,0.3678858252977219
2020-01-06,es1s,0.5060981415870386,0.18634863966388893,3139682.65085605,-12174.626168970019,0.4589863351464337,1.0,2.7499910258641616e-09,12.976138744990704,3.1485124183491723e-06,-0.004724479219429817,-0.2873388924006991,0.7361292353702706,-0.0452648729155826,-0.49544196906591104,0.9722009697682993,-2.47864189935404
2020-01-07,es1s,0.05799371553754882,0.021357172121240886,3140719.58429534,1036.9334392896853,0.44530140916767963,1.0,2.5368684563842446e-09,13.214646706982077,2.8858685060565154e-06,0.0,-0.2879390022592816,0.7367528032050213,0.0017189289698860727,-0.5062680078668407,1.0064280187205639,0.04096824212250266
2020-01-08,es1s,1.8489070413288873,0.722433677171676,3180934.61888516,40215.034589820076,0.5097633471551682,1.0,2.54440522378572e-09,12.533429510746522,2.9633631603654893e-06,-0.0010824185399981696,-0.2878893149328395,0.7647186555362407,0.14104668054211808,-0.5030006139700549,0.9080112488080331,-0.5362867371371967
2020-01-09,es1s,-0.03721482013996884,-0.014596022200924152,3175473.20256132,-5461.4163238401525,0.47038554179740877,1.0,2.6890359177334483e-09,11.918851901599115,3.1405604056837084e-06,0.00030667791610672893,-0.2874358960094859,0.7608001878883008,-0.021417876523498035,-0.4956024128454484,0.819231791246211,0.2046258166693415
2020-01-10,es1s,0.3874403582081931,0.15068955992460387,3130177.42766254,-45295.77489877958,0.3428794948304642,1.0,2.707120796046691e-09,12.868423592206272,3.175864582529262e-06,-0.0001526368003314518,-0.28735520355243993,0.7290800143478015,-0.16310233057981116,-0.49408452092375754,0.9560580382082975,-0.040385590600587294
2020-01-13,es1s,-0.5540973896127724,-0.20174673080343342,3128080.20642722,-2097.2212353204377,0.28411529403276115,1.0,2.8880576777997025e-09,14.724563468594718,3.2894241984724882e-06,0.00030625526475680677,-0.28679484545209954,0.7275177920002585,-0.009421945095206954,-0.4893238669305684,1.2235622520451683,0.2044067071764128
2020-01-14,es1s,0.9678130303510578,0.34815776438882584,3117167.88324008,-10912.323187139817,0.16910179519787955,1.0,2.872016813626508e-09,15.262591155311087,3.265205983622459e-06,-0.0001519987836075923,-0.2868147488433333,0.7198027939223643,-0.04078097828015633,-0.4902735379496578,1.300867135583056,-0.04008110294257939
2020-01-15,es1s,0.45954764484176736,0.16538024303626764,3148097.22558976,30929.34234968014,0.12808016778964285,1.0,2.71089918721858e-09,15.1407755764714,3.0596770047575186e-06,-7.603695542461749e-05,-0.28726204652373044,0.7412965920565134,0.10808801387007508,-0.498737673013542,1.2829950705949982,0.0004501833512104835
2020-01-16,es1s,0.20010665077681034,0.07165288053974073,3172267.81709865,24170.591508890036,0.4745879964216258,1.0,2.9067571850352195e-09,14.376838721228486,3.3011375557358514e-06,0.0001517911385405087,-0.2866576234612489,0.7580681199291037,0.08402986350262727,-0.48867409110613463,1.1725579683433052,0.12201334498398587
2020-01-17,es1s,0.1339429373457641,0.04770757157309524,3168054.69114261,-4213.125956040341,0.2752499772029075,1.0,2.94777902433822e-09,14.273939092837248,3.354604328512757e-06,7.537782931071244e-05,-0.28650943717342764,0.7550218660015691,-0.01697959817248252,-0.4864039535223081,1.1574766900047502,0.08122678620348837
2020-01-21,es1s,0.6630241506236987,0.23456302801607243,3189275.62739514,21220.9362525302,1.1960747060749881,-1.0,2.846041077088718e-09,14.32684106120096,3.2464954429366443e-06,0.0,-0.28678192642859524,0.7697321776994568,0.07353569371614842,-0.49083198937570066,1.1648641270521953,0.040992894745194366
2020-01-22,es1s,0.4883601422918691,0.1726203954986889,3179602.2528331,-9673.374562039971,0.9077471133073122,-1.0,2.7070930886654672e-09,14.354057174064769,3.0741678517093474e-06,0.0005270489141595929,-0.2871640689342256,0.7628709138550785,-0.036425979119067274,-0.4979219571310962,1.1685451152596615,0.32228020358379067
2020-01-23,es1s,0.8677133377952448,0.2851187460570841,3189500.99693768,9898.744104580022,1.2522934912570092,1.0,2.7241036511435276e-09,14.236769825159355,3.114223637870985e-06,-0.000753352453966375,-0.2870865766282323,0.76967566762862,0.03324201156173494,-0.4962059953441098,1.1513930139456745,-0.3611672629849206
2020-01-24,es1s,2.4112869909311283,0.7382441982891077,3154051.41884082,-35449.57809686009,-0.2958942431899068,-1.0,2.824466697402863e-09,14.599262110294015,3.3613064420358695e-06,0.00015031942838210862,-0.2867634227849395,0.7448171695188269,-0.12818725665779332,-0.4859063584022459,1.2034107191365508,0.12124253495664337
2020-01-27,es1s,2.29232337343697,0.6625588417582386,3142512.03117519,-11539.387665629853,-0.7494883365817356,1.0,2.5645542885034562e-09,0.0,3.443962141741792e-06,-0.007237299712217358,-0.28750223701320615,0.7366582034759714,-0.04305543882522132,-0.4824256124771898,-0.9018419631166444,-3.817698476035461
2020-01-28,es1s,0.7172366265323821,0.1949460746939009,3143308.41474005,796.3835648600943,-0.6940255629730897,-1.0,2.737052357210571e-09,13.737019915136155,3.7412469697734456e-06,0.0,-0.28696635626847955,0.7371143234147562,0.0008676846571863238,-0.47004487717423427,1.079035386527018,0.041607640297016864
2020-01-29,es1s,0.09332231446401393,0.02411155717217839,3143710.109676,401.69493594998494,-0.6083007479854033,-1.0,2.6171848465898823e-09,15.87131140313145,3.615103625585469e-06,0.0010670732742275877,-0.28729241712099113,0.7372947736763261,-0.0005377345437291273,-0.4752251746216007,1.386469821155036,0.6106036162056431
2020-01-30,es1s,1.6615146127933222,0.4332673874629338,3153273.71876135,9563.609085349832,-0.17879210916906504,-1.0,2.6242203390502103e-09,16.047252716253364,3.6715064123004306e-06,-0.00030562347643374357,-0.28724432428720037,0.7438730621094013,0.032087430196590536,-0.47283415983183513,1.4114678155278488,-0.12148452919404247
2020-01-31,es1s,2.5340992230943247,0.7746822736571679,3081970.53219601,-71303.18656534003,-2.626519640963445,1.0,2.6375897058941603e-09,20.45678982270884,3.862170926789837e-06,0.0006837087653606625,-0.28717756403770567,0.6939774184720275,-0.25590186471246573,-0.46487458816838306,2.0463346927826285,0.40615917411346597
2020-02-03,es1s,0.24844680938887956,0.07572749991180427,3071096.7436975,-10873.788498510141,-2.386621439151717,-1.0,2.6092970290224275e-09,23.277117725382805,3.83138776082909e-06,-0.00038779230334354004,-0.2872336657996657,0.6862929834126241,-0.04065667467985956,-0.46610124732029856,2.451361400400771,-0.16537999480831186
2020-02-04,es1s,-0.17718565545564588,-0.05335840910986178,3082556.72655021,11459.982852709945,-1.7664455188210049,-1.0,2.9549528376050737e-09,18.725228879848185,4.324050661069604e-06,-0.00038522285622243833,-0.2861869843013534,0.6942080825903598,0.03889685725527488,-0.4456138258712215,1.7948376874526752,-0.1639944943862705
2020-02-05,es1s,0.40465779424104154,0.11701546166335097,3135861.87809325,53305.151543040294,-0.2413530892727679,-1.0,3.094599581590516e-09,9.830474434377379,4.566609298043492e-06,0.00022728133812352472,-0.28574791773089037,0.731348168522693,0.18795294511511693,-0.4355036354167647,0.513438928239731,0.16276528931989606
2020-02-06,es1s,-0.626085013117066,-0.1834818571159832,3157004.5772507,21142.699157449882,0.4044709063930937,-1.0,3.0398386804503312e-09,5.850651744396955,4.4481032495237485e-06,0.0005995204024105329,-0.285882279109304,0.7460169303846635,0.07335818225723859,-0.44037432198355175,-0.05990980974801099,0.36133804345070375
2020-02-07,es1s,-0.21861814865092807,-0.06187138089541233,3146913.159703,-10091.417547699995,0.15528960056507116,-1.0,3.0300576423661617e-09,9.505335258993126,4.4625554398125774e-06,0.0011203646092181883,-0.28588396408114347,0.7388661965323329,-0.03792902053119515,-0.43972800094343073,0.4665991618004402,0.6391772981118732
2020-02-10,es1s,-0.7821425580621247,-0.2241882627393137,3154446.10746974,7532.947766739875,0.3444197181533531,1.0,3.1858938030045127e-09,12.050097698758806,4.656077816111712e-06,-0.0009777745101471633,-0.28539708656464097,0.7440277748460636,0.024871826386479366,-0.4316512406876286,0.8331439991852985,-0.4803794468217456
2020-02-11,es1s,-0.6997287868619692,-0.1870806471141393,3170009.45080181,15563.343332069926,0.740085042365308,1.0,2.9008116456283436e-09,9.879936928613526,4.355592999382308e-06,-0.0005966587296757753,-0.286211040411989,0.754797927519696,0.05348530855016292,-0.444075274070954,0.5203835349391221,-0.2769685641123075
2020-02-12,es1s,-1.137137184357758,-0.318948977284346,3190525.08548077,20515.634678960312,1.2110084292862255,1.0,3.1251767351236236e-09,8.838948363755364,4.6215945644223045e-06,0.0008931230120228301,-0.28552187006448204,0.7690254129375673,0.0711292258298398,-0.43298882663875293,0.3703389591038462,0.518069059945712
