date,instrument,f17_hmm_state_lo,f17_hmm_state_mid,f17_hmm_state_hi,f17_hmm_state_argmax
2020-01-03,es1s,0.9998739876995032,0.00012591219473509567,1.0010407885597554e-07,0.0
2020-01-06,es1s,0.9999358932322282,6.405349211362942e-05,5.327624041018385e-08,0.0
2020-01-07,es1s,0.9999392075840885,6.073363075186258e-05,5.878372243221613e-08,0.0
2020-01-08,es1s,0.9999205305103821,7.937325051033153e-05,9.623763846308219e-08,0.0
2020-01-09,es1s,0.9999369175746198,6.301777033166304e-05,6.465432713847059e-08,0.0
2020-01-10,es1s,0.9999187683859432,8.117614428054759e-05,5.546963272326066e-08,0.0
2020-01-13,es1s,0.9999082067011216,9.170525339473669e-05,8.804578445743881e-08,0.0
2020-01-14,es1s,0.99993169020436,6.826163494472267e-05,4.815891547338482e-08,0.0
2020-01-15,es1s,0.9999428654761376,5.708369229281619e-05,5.082977109295642e-08,0.0
2020-01-16,es1s,0.9999168438569008,8.308009464691343e-05,7.604700494275882e-08,0.0
2020-01-17,es1s,0.9999360816492787,6.386781308570844e-05,5.0537293427503294e-08,0.0
2020-01-21,es1s,0.9999285892405272,7.136238576120751e-05,4.8374488193460105e-08,0.0
2020-01-22,es1s,0.9999353037575559,6.464932583920605e-05,4.691716349200318e-08,0.0
2020-01-23,es1s,0.9999365239738591,6.342846065538351e-05,4.7567185989779335e-08,0.0
2020-01-24,es1s,0.999614112229082,0.0003857408837041786,1.4688785592871748e-07,0.0
2020-01-27,es1s,0.9886906299146392,0.011306415367736534,2.954718902218268e-06,0.0
2020-01-28,es1s,0.9950869770194378,0.004907867623770788,5.155355581416423e-06,0.0
2020-01-29,es1s,0.9985314853236663,0.001467898785858887,6.158904589907137e-07,0.0
2020-01-30,es1s,0.9985871501947385,0.0014125861716105996,2.636344804475791e-07,0.0
2020-01-31,es1s,0.5000194621692235,0.4998679063950075,0.00011263143500632922,0.0
2020-02-03,es1s,0.5962097650558751,0.4034617770793742,0.0003284578646862636,0.0
2020-02-04,es1s,0.06494954706680607,0.9338949964524497,0.001155456482094294,1.0
2020-02-05,es1s,0.008596724468537523,0.9906670996330603,0.0007361758994730712,1.0
2020-02-06,es1s,0.006703165774848679,0.9927802221264704,0.0005166120973306161,1.0
2020-02-07,es1s,0.0028360587389930445,0.9966439081315134,0.0005200331302545072,1.0
2020-02-10,es1s,0.0023606651782615454,0.9970665352079312,0.0005727996121461202,1.0
2020-02-11,es1s,0.004382717897040699,0.9951347339071326,0.00048254819692403845,1.0
2020-02-12,es1s,0.0032048889095389124,0.9962560832634803,0.0005390278255724959,1.0
2020-02-13,es1s,0.0033946986629055194,0.9961420669220336,0.000463234415167664,1.0
2020-02-14,es1s,0.004590950964216203,0.9949342717125559,0.00047477732374738406,1.0
2020-02-18,es1s,0.0033609460384101584,0.9961575074301602,0.00048154653287199535,1.0
2020-02-19,es1s,0.0034071090682620785,0.9960850772934238,0.0005078136389922161,1.0
2020-02-20,es1s,0.0017969158608219804,0.9977170430688209,0.0004860410720754961,1.0
2020-02-21,es1s,0.0004965266836541755,0.9989691932784367,0.0005342800381313499,1.0
2020-02-24,es1s,2.7717266881471465e-12,0.977825062006585,0.022174937992218258,1.0
2020-02-25,es1s,8.993733811301918e-13,0.9462608120566448,0.05373918794096959,1.0
2020-02-26,es1s,1.756967874023288e-08,0.993529793131971,0.0064701892981061685,1.0
2020-02-27,es1s,4.976055285240108e-29,0.0037828946134773216,0.9962171053875264,2.0
2020-02-28,es1s,8.926905206704789e-18,0.011444726276533992,0.9885552737242047,2.0
2020-03-02,es1s,4.9111656476151766e-30,1.4437194783211564e-05,0.9999855628035113,2.0
2020-03-03,es1s,2.9329043048866048e-31,2.1546171313949056e-05,0.9999784538296999,2.0
2020-03-04,es1s,3.0133289965080535e-40,1.3637201978063453e-07,0.9999998636267358,2.0
2020-03-05,es1s,1.1028958671593189e-45,1.1908608183228738e-08,0.9999999880928955,2.0
2020-03-06,es1s,2.1095000250758837e-42,1.5907755322455549e-07,0.9999998409221134,2.0
2020-03-09,es1s,7.798547660766387e-96,1.9759287094633733e-22,1.0,2.0
2020-03-10,es1s,2.4143895502763844e-83,2.653092869089475e-18,1.0,2.0
2020-03-11,es1s,1.900921597338696e-95,2.3066484949394898e-22,1.0,2.0
2020-03-12,es1s,7.770809634435353e-189,1.3279419749372727e-49,1.0,2.0
2020-03-13,es1s,9.593504917047575e-212,1.9650487735359309e-57,1.0,2.0
2020-03-16,es1s,7.438685373724742e-301,7.876580200342176e-88,1.0,2.0
2020-03-17,es1s,3.2721444408874896e-241,2.066425960586997e-71,1.0,2.0
2020-03-18,es1s,1.275376213091081e-247,2.9153523382035617e-74,1.0,2.0
2020-03-19,es1s,1.1915336571714323e-238,1.8923279711999004e-71,1.0,2.0
2020-03-20,es1s,4.1537821350374733e-255,1.2808108215187663e-76,1.0,2.0
2020-03-23,es1s,3.3288242790428266e-248,1.4245035613323794e-74,1.0,2.0
2020-03-24,es1s,0.0,6.790869109200991e-102,1.0,2.0
2020-03-26,es1s,0.0,5.3968989105407e-102,1.0,2.0
2020-03-30,es1s,0.0,3.913817447021713e-101,1.0,2.0
2020-04-01,es1s,0.0,4.311615800955677e-105,1.0,2.0
2020-04-02,es1s,5e-324,6.301528014511853e-101,1.0,2.0
2020-04-03,es1s,0.0,3.4521342084542693e-102,1.0,2.0
2020-04-06,es1s,0.0,1.1660774560107602e-102,1.0,2.0
2020-04-07,es1s,5.3780570495648e-310,1.2188328351149318e-96,1.0,2.0
2020-04-08,es1s,1.24198760441325e-309,2.018852164843871e-95,1.0,2.0
2020-04-09,es1s,1.2290441017500978e-243,7.407261673794091e-73,1.0,2.0
2020-04-14,es1s,1.179789207183464e-140,3.935734491153247e-37,1.0,2.0
2020-04-15,es1s,1.269876454394531e-144,5.839828222799374e-39,1.0,2.0
2020-04-16,es1s,1.3076820390779196e-130,2.4167989906227653e-34,1.0,2.0
2020-04-17,es1s,1.3476726218061588e-134,3.820520243530033e-35,1.0,2.0
2020-04-20,es1s,3.7043789826858e-127,3.7262056781112156e-33,1.0,2.0
2020-04-21,es1s,2.53857878976897e-127,3.859890681391466e-33,1.0,2.0
2020-04-22,es1s,6.928607435903663e-86,1.2974842226063083e-19,1.0,2.0
2020-04-23,es1s,2.5818214377091923e-85,1.113222881574344e-19,1.0,2.0
2020-04-24,es1s,1.3319392417384263e-73,7.347557399416962e-16,1.0,2.0
2020-04-29,es1s,5.100756561984811e-64,7.388826519904291e-13,1.0,2.0
2020-04-30,es1s,4.158220946851448e-50,4.8677403292562335e-09,0.9999999951323844,2.0
2020-05-01,es1s,3.318851394415622e-56,2.9199160601243414e-11,0.9999999999708962,2.0
2020-05-04,es1s,1.2437641744753884e-50,3.1348913704345736e-09,0.9999999968640623,2.0
2020-05-05,es1s,7.0422646763904705e-34,4.445590430888284e-05,0.999955544094091,2.0
2020-05-06,es1s,9.1403728318212e-31,2.2263019784047874e-05,0.9999777369816785,2.0
2020-05-07,es1s,1.6936803893914023e-27,0.0001911786238874498,0.9998088213758209,2.0
2020-05-11,es1s,1.5848606204265857e-25,0.000333675101727008,0.9996663248993373,2.0
2020-05-12,es1s,1.4708784323550647e-28,4.659310181442585e-05,0.999953406897031,2.0
2020-05-13,es1s,3.6985377325245303e-25,0.0005295191418641511,0.9994704808566507,2.0
2020-05-14,es1s,1.8476677241346518e-23,0.0008396229791835701,0.9991603770219076,2.0
2020-05-15,es1s,2.6457805182866696e-19,0.0067025995782721524,0.993297400420054,2.0
2020-05-18,es1s,1.984885471119104e-26,9.998396526779924e-05,0.9999000160352457,2.0
2020-05-20,es1s,1.3826989552585586e-18,0.006996404219532206,0.9930035957789375,2.0
2020-05-21,es1s,5.219310382526026e-19,0.005660270775813513,0.9943397292249729,2.0
2020-05-22,es1s,2.916944329293751e-17,0.014476163841308183,0.9855238361585672,2.0
2020-05-26,es1s,1.737381447821303e-17,0.013021267699758449,0.9869787322997609,2.0
2020-05-27,es1s,5.7944097369406465e-18,0.010236420993360579,0.9897635790069301,2.0
2020-05-28,es1s,2.942693906732196e-15,0.03754168550996488,0.9624583144885727,2.0
2020-05-29,es1s,9.162395447469975e-14,0.09810407589563008,0.9018959241036753,2.0
2020-06-01,es1s,9.834493797900161e-10,0.508430695691957,0.49156930332305965,1.0
2020-06-02,es1s,1.6095666838472623e-09,0.8812205477596036,0.11877945063158071,1.0
2020-06-03,es1s,6.648716054193073e-10,0.9726527195617863,0.02734727977318127,1.0
2020-06-04,es1s,4.066332987302739e-09,0.9958206841727468,0.004179311761270062,1.0
2020-06-05,es1s,1.0568826488230632e-11,0.9913398724415088,0.0086601275481517,1.0
2020-06-08,es1s,5.593835344456216e-10,0.9966895775420167,0.003310421897416782,1.0
2020-06-09,es1s,3.37905403309029e-10,0.9978379766745846,0.0021620229875007647,1.0
2020-06-10,es1s,9.139348030662661e-08,0.999218382188205,0.0007815264195706735,1.0
2020-06-11,es1s,3.4279284628381684e-37,5.643417054984122e-05,0.99994356583096,2.0
2020-06-12,es1s,3.057497608602431e-24,0.000915126604595434,0.9990848733957722,2.0
2020-06-15,es1s,1.1518438681298964e-23,0.0006707812135858388,0.9993292187863442,2.0
2020-06-16,es1s,3.3964166056236535e-21,0.0025100379793947113,0.997489962021273,2.0
2020-06-17,es1s,4.6013495379072e-19,0.006253464601998372,0.9937465353991513,2.0
2020-06-18,es1s,6.472050327525651e-18,0.010389863216355485,0.9896101367819329,2.0
2020-06-19,es1s,5.44207780018607e-19,0.005686059703367764,0.9943139402968856,2.0
2020-06-22,es1s,8.357229449097392e-20,0.003856161029178315,0.9961438389704859,2.0
2020-06-23,es1s,2.0474251561978386e-18,0.008430182096807785,0.9915698179045931,2.0
2020-06-24,es1s,2.458542653598013e-23,0.0005158082815079481,0.9994841917190109,2.0
2020-06-25,es1s,2.413187815846547e-21,0.0026077114606510967,0.9973922885391195,2.0
2020-06-26,es1s,1.3672437759245092e-25,0.0001665549543339997,0.9998334450467369,2.0
2020-06-29,es1s,5.49476914976755e-25,0.0004742646733770755,0.999525735327575,2.0
2020-06-30,es1s,3.721482705508763e-25,0.0003410110375633889,0.999658988964103,2.0
2020-07-01,es1s,5.041682897116e-24,0.0006768387547175062,0.9993231612449739,2.0
2020-07-02,es1s,3.9805060051691686e-24,0.0005545488750603148,0.9994454511232894,2.0
2020-07-08,es1s,3.2357649613276374e-22,0.0014589823759189274,0.9985410176249894,2.0
2020-07-10,es1s,1.1775498934697802e-09,0.22022087121414674,0.7797791276099237,2.0
2020-07-13,es1s,2.346224579861876e-08,0.7543276388046654,0.2456723377323953,1.0
2020-07-16,es1s,1.4280434083991824e-07,0.9991456655011898,0.0008541916937492676,1.0
2020-07-17,es1s,3.2260617346102155e-07,0.9994251000038881,0.0005745773905369551,1.0
2020-07-20,es1s,7.552993843867998e-07,0.9994214444130953,0.0005778002862296671,1.0
2020-07-21,es1s,5.1550816879924145e-06,0.9995839808995477,0.000410864019902648,1.0
2020-07-22,es1s,4.792290174775301e-06,0.9995763767667126,0.000418830943387171,1.0
2020-07-23,es1s,1.7951929492475533e-05,0.9994091912400347,0.0005728568289288021,1.0
2020-07-24,es1s,2.713637118384581e-05,0.9995238107368423,0.00044905289161170864,1.0
2020-07-28,es1s,0.0018267380572904066,0.9976611944944004,0.0005120674478258306,1.0
2020-07-29,es1s,0.0015662565596627233,0.9976654466420363,0.000768296799579971,1.0
2020-07-30,es1s,0.0034957720736980046,0.9960196847862854,0.0004845431392797974,1.0
2020-07-31,es1s,0.0049170842955326465,0.994565298342109,0.0005176173611075098,1.0
2020-08-03,es1s,0.008336580544734379,0.9910017303249055,0.0006616891290866037,1.0
2020-08-04,es1s,0.0404066356569748,0.9588631652456937,0.0007301990987702685,1.0
2020-08-05,es1s,0.10098915396009572,0.8982486871049615,0.0007621589348941133,1.0
2020-08-06,es1s,0.2116185851691069,0.787476055075084,0.0009053597571311517,1.0
2020-08-07,es1s,0.5844272551562087,0.41512876760532813,0.00044397723733353924,0.0
2020-08-11,es1s,0.9882289234263387,0.011755741131520106,1.5335440922926542e-05,0.0
2020-08-12,es1s,0.9926537001666248,0.007338922310226319,7.3775248864028615e-06,0.0
2020-08-13,es1s,0.998606263800213,0.0013929362401016608,7.999608191455881e-07,0.0
2020-08-17,es1s,0.9991009569987129,0.0008988576213781438,1.8537967843719704e-07,0.0
