date,instrument,f10_hl_range,f10_hl_range_mean_20,f10_oto_ret,f10_oto_ret_mean_20,z_f10_hl_range,z_f10_hl_range_mean_20,z_f10_oto_ret,z_f10_oto_ret_mean_20
2020-01-03,es1s,0.01754227589638216,0.007226858569468043,0.007386921861664367,0.0025983495873910314,0.1592119141231767,-0.9712851744265664,0.600779633863953,1.053147894708462
2020-01-06,es1s,0.012619685151049855,0.007512626298246508,-0.012574900511507989,0.001659257348007808,-0.2700375291498173,-0.9384856372278063,-1.0661469033007036,0.6426228850580974
2020-01-07,es1s,0.008795674330340897,0.007409966915249232,0.007193997374750169,0.0019105887216938563,-0.6034654315761269,-0.9500525883147761,0.5847792410743164,0.7523725285687806
2020-01-08,es1s,0.026906061914899138,0.008464698799716846,-0.003629207488701981,0.0012701715388093815,0.9759023719143544,-0.8294441845809547,-0.3191399087340491,0.4723919760214234
2020-01-09,es1s,0.005815304476659265,0.008328093925439577,0.009086771288518805,0.0019315167684966085,-0.8634475457894341,-0.8449212057153552,0.7428765238938874,0.761382608008124
2020-01-10,es1s,0.008018064411069404,0.008489914765067736,0.0043599717207159746,0.002117612338592237,-0.6712382299674391,-0.826312059378082,0.34801466007432535,0.8426070268175165
2020-01-13,es1s,0.007778579600699676,0.008241438541355763,-0.0029810838077039205,0.0018331969698089292,-0.6920367718815693,-0.8545676208035281,-0.26520295315222325,0.7181750626702951
2020-01-14,es1s,0.006542932656110213,0.008123121589835889,0.0071701298821406365,0.001689305946201678,-0.7997038375686166,-0.8679501045827739,0.5827898311261892,0.6551858277189884
2020-01-15,es1s,0.006462180849726437,0.008053917909651261,-0.00045613502533972737,0.001654692354775353,-0.8066305428463976,-0.8757196175940939,-0.05436255452387826,0.6399729031986393
2020-01-16,es1s,0.007259560011425921,0.008237081784662561,0.001975084204905592,0.0015061031609722385,-0.7369724887761221,-0.8546625722025883,0.148764769533787,0.5749382340969552
2020-01-17,es1s,0.004288138976113194,0.008279479181550736,0.006806863368822154,0.0019090539444971762,-0.9960144999086828,-0.8496892873535096,0.5524557406007369,0.7510253745579625
2020-01-21,es1s,0.006780197739328045,0.008318094141637977,0.0024842862938858237,0.001923756325502735,-0.7785054246632186,-0.8451493331843415,0.19121178225979288,0.7573489514235556
2020-01-22,es1s,0.006688988150068627,0.00832635413508344,-0.0011284560160461999,0.0016490266130143438,-0.7863504809687679,-0.8440778731057822,-0.1107114358021224,0.6371345914149918
2020-01-23,es1s,0.007769812408630717,0.008560009917823649,-0.0012050916554883185,0.0013791606682604291,-0.6919664307370255,-0.8172598502773144,-0.11710632756555131,0.5190618300779611
2020-01-24,es1s,0.017076349966041814,0.00927824724394217,0.0027845737649723717,0.001499025272767141,0.11998713416437592,-0.7350912999189655,0.21636594489364971,0.5714160316516923
2020-01-27,es1s,0.011303030644259231,0.00956912915044025,-0.017207170813708757,0.0006502842824172257,-0.38372063464162937,-0.7017601948393629,-1.4544656107997798,0.20019031214771615
2020-01-28,es1s,0.014179199040257589,0.00999301243841285,-0.009294532478034037,-3.857132028434297e-05,-0.1327320761418346,-0.6532392541981685,-0.7929517792039518,-0.10110570486576462
2020-01-29,es1s,0.008386752422379472,0.009994487997274659,0.012957819793371786,0.0006671878136528473,-0.6381501469313494,-0.6529884248726889,1.0669338132302835,0.20760079121573746
