date,instrument,f16_regime_alignment_score
2020-12-28,es1s,
2020-12-29,es1s,
2020-12-30,es1s,
2021-01-04,es1s,
2021-01-05,es1s,
2021-01-06,es1s,
2021-01-07,es1s,
2021-01-08,es1s,
2021-01-11,es1s,
2021-01-12,es1s,
2021-01-13,es1s,
2021-01-14,es1s,
2021-01-15,es1s,
2021-01-19,es1s,
2021-01-20,es1s,
2021-01-21,es1s,
2021-01-22,es1s,
2021-01-25,es1s,
2021-01-26,es1s,
2021-01-27,es1s,
2021-01-28,es1s,
2021-01-29,es1s,
2021-02-01,es1s,
2021-02-02,es1s,
2021-02-03,es1s,
2021-02-04,es1s,
2021-02-05,es1s,
2021-02-11,es1s,
2021-02-12,es1s,
2021-02-16,es1s,
2021-02-17,es1s,
2021-02-18,es1s,
2021-02-19,es1s,
2021-02-22,es1s,
2021-02-23,es1s,
2021-02-24,es1s,
2021-02-25,es1s,
2021-02-26,es1s,
2021-03-01,es1s,
2021-03-02,es1s,
2021-03-03,es1s,
2021-03-04,es1s,
2021-03-08,es1s,
2021-03-09,es1s,
2021-03-10,es1s,
2021-03-11,es1s,
2021-03-12,es1s,
2021-03-15,es1s,
2021-03-16,es1s,
2021-03-17,es1s,
2021-03-18,es1s,
2021-03-19,es1s,
2021-03-22,es1s,
2021-03-23,es1s,
2021-03-25,es1s,
2021-03-26,es1s,
2021-03-29,es1s,
2021-03-30,es1s,
2021-03-31,es1s,
2021-04-01,es1s,
2021-04-02,es1s,
2021-04-08,es1s,
2021-04-09,es1s,
2021-04-12,es1s,
2021-04-14,es1s,
2021-04-15,es1s,
2021-04-19,es1s,
2021-04-20,es1s,
2021-04-21,es1s,
2021-04-23,es1s,
2021-04-26,es1s,
2021-04-27,es1s,
2021-04-28,es1s,
2021-04-29,es1s,
2021-05-03,es1s,
2021-05-04,es1s,
2021-05-05,es1s,
2021-05-06,es1s,
2021-05-07,es1s,
2021-05-11,es1s,
2021-05-12,es1s,
2021-05-13,es1s,
2021-05-14,es1s,
2021-05-17,es1s,
2021-05-18,es1s,
2021-05-19,es1s,
2021-05-20,es1s,
2021-05-21,es1s,
2021-05-24,es1s,
2021-05-25,es1s,
2021-05-28,es1s,
2021-06-01,es1s,
2021-06-02,es1s,
2021-06-03,es1s,
2021-06-04,es1s,
2021-06-07,es1s,
2021-06-08,es1s,
2021-06-09,es1s,
2021-06-10,es1s,
2021-06-11,es1s,
2021-06-14,es1s,
2021-06-15,es1s,
2021-06-16,es1s,
2021-06-17,es1s,
2021-06-18,es1s,
2021-06-21,es1s,
2021-06-22,es1s,
2021-06-23,es1s,
2021-06-24,es1s,
2021-06-25,es1s,
2021-06-28,es1s,
2021-06-29,es1s,
2021-06-30,es1s,
2021-07-01,es1s,
2021-07-02,es1s,
2021-07-06,es1s,
2021-07-07,es1s,
2021-07-08,es1s,
2021-07-09,es1s,
2021-07-12,es1s,
2021-07-13,es1s,
2021-07-14,es1s,
2021-07-15,es1s,
2021-07-16,es1s,
2021-07-19,es1s,
2021-07-20,es1s,
2021-07-21,es1s,
2021-07-22,es1s,
2021-07-23,es1s,
2021-07-26,es1s,
2021-07-27,es1s,
2021-07-28,es1s,
2021-07-29,es1s,
2021-07-30,es1s,
2021-08-02,es1s,
2021-08-04,es1s,
2021-08-06,es1s,
2021-08-09,es1s,
2021-08-10,es1s,
2021-08-12,es1s,
2021-08-13,es1s,
2021-08-16,es1s,
2021-08-17,es1s,
2021-08-18,es1s,
2021-08-19,es1s,
2021-08-20,es1s,
2021-08-23,es1s,
2021-08-24,es1s,
2021-08-26,es1s,
2021-08-30,es1s,
2021-08-31,es1s,
2021-09-01,es1s,
2021-09-02,es1s,
2021-09-03,es1s,
2021-09-07,es1s,
2021-09-08,es1s,
2021-09-09,es1s,
2021-09-10,es1s,
2021-09-13,es1s,
2021-09-14,es1s,
2021-09-15,es1s,
2021-09-16,es1s,
2021-09-17,es1s,
2021-09-22,es1s,
2021-09-23,es1s,
2021-09-24,es1s,
2021-09-27,es1s,
2021-09-28,es1s,
2021-09-29,es1s,0.9451867960401109
2021-09-30,es1s,0.9523759451243331
2021-10-01,es1s,0.7908074290645498
2021-10-04,es1s,0.7952907514375671
2021-10-05,es1s,0.5135545743243516
2021-10-06,es1s,0.46657269287304853
2021-10-07,es1s,0.09941465271574203
2021-10-08,es1s,0.14038209617498723
2021-10-11,es1s,0.048695153478763874
2021-10-12,es1s,0.03904651834326139
2021-10-13,es1s,0.14167485497115467
2021-10-14,es1s,0.10467685704471434
2021-10-15,es1s,0.0387288723704398
2021-10-18,es1s,0.02925413352113947
2021-10-19,es1s,0.01819078022719565
2021-10-20,es1s,0.018051857399701804
2021-10-21,es1s,0.02038264090146824
2021-10-22,es1s,0.03872126724987085
2021-10-25,es1s,0.018226951013753545
2021-10-26,es1s,0.014306404848885599
2021-10-27,es1s,0.012685690211703616
2021-10-28,es1s,0.543375098818923
2021-10-29,es1s,0.9631987155617665
2021-11-02,es1s,0.5794721581692766
2021-11-04,es1s,0.5652601158578595
2021-11-05,es1s,0.46854383798372456
2021-11-08,es1s,0.2909595130559469
2021-11-09,es1s,0.34755196212286127
2021-11-10,es1s,0.32805510943607474
2021-11-11,es1s,0.14974840649645765
2021-11-12,es1s,0.11623562202925278
2021-11-15,es1s,0.14679746159175
2021-11-16,es1s,0.1320278299906629
2021-11-17,es1s,0.22386869639838824
2021-11-18,es1s,0.18271336109982003
2021-11-19,es1s,0.19018523887589303
2021-11-22,es1s,0.23020305600373345
2021-11-23,es1s,0.239689672168663
2021-11-24,es1s,0.15644612013300987
2021-11-26,es1s,0.8177970419216102
2021-11-29,es1s,0.8118518420137628
2021-11-30,es1s,0.7796508832111962
2021-12-01,es1s,0.13642589565615573
2021-12-02,es1s,0.16014260664122498
2021-12-03,es1s,0.10227681540400907
2021-12-07,es1s,0.037885527674157496
2021-12-10,es1s,0.3044488666129894
2021-12-14,es1s,0.56023792846766
2021-12-16,es1s,0.3815563275181559
2021-12-17,es1s,0.37146675684536185
2021-12-20,es1s,0.28993527663336016
2021-12-21,es1s,0.12505538133310964
2021-12-23,es1s,0.1275377326588917
2021-12-27,es1s,0.06123620812191976
2021-12-28,es1s,0.9274861153814468
2021-12-29,es1s,0.9209912852117265
2021-12-30,es1s,0.9438251022861502
2021-12-31,es1s,0.9378881050933254
2022-01-03,es1s,0.8948913092176997
2022-01-04,es1s,0.8484147887955852
2022-01-05,es1s,0.7417878017985754
2022-01-06,es1s,0.7186628386916865
2022-01-07,es1s,0.5321208167557947
2022-01-10,es1s,0.6010778933168415
2022-01-11,es1s,0.5656944961559575
2022-01-12,es1s,0.6621647325989183
2022-01-13,es1s,0.5830471480678586
2022-01-14,es1s,0.6838576540944322
2022-01-18,es1s,0.9377664727084222
2022-01-19,es1s,0.962816429028835
2022-01-20,es1s,0.8397640300751714
2022-01-21,es1s,0.9410818004071513
2022-01-24,es1s,0.7955705464964385
2022-01-25,es1s,0.6916484703748054
2022-01-26,es1s,0.9510414221280641
2022-01-27,es1s,0.8758814721824152
2022-01-28,es1s,0.9520960214622007
2022-01-31,es1s,0.9730502063364714
2022-02-01,es1s,0.8190066554733538
2022-02-02,es1s,0.822427015524287
2022-02-03,es1s,0.8091031082411995
2022-02-07,es1s,0.8238122376789484
2022-02-08,es1s,0.8366491149952836
2022-02-09,es1s,0.8381700587613536
2022-02-10,es1s,0.797058067198814
2022-02-11,es1s,0.8468437636923545
2022-02-14,es1s,0.8387499915807133
2022-02-15,es1s,0.8314275379392342
2022-02-16,es1s,0.8228171897589103
2022-02-17,es1s,0.8156118893784651
2022-02-18,es1s,0.8793175095136586
2022-02-22,es1s,0.9703593137411066
2022-02-23,es1s,0.9814549878655301
2022-02-24,es1s,0.9984686266557772
2022-02-25,es1s,0.9937395959660893
2022-02-28,es1s,0.9948602859893507
2022-03-01,es1s,0.9890917359660862
2022-03-02,es1s,0.9747165050382517
2022-03-03,es1s,0.9774526513375046
2022-03-04,es1s,0.9751188330488605
2022-03-07,es1s,0.9871279181771165
2022-03-08,es1s,0.9883536969209376
2022-03-09,es1s,0.9684957096791189
2022-03-10,es1s,0.9391413821620505
2022-03-11,es1s,0.9635128159848361
2022-03-14,es1s,0.9897153815342099
