date,instrument,f2_vol_10,f2_vol_20,f2_vol_60,f2_vol_ratio_20_60,f2_vol_pctile_20,f2_vol_of_vol_20,f2_parkinson_20,f2_garman_klass_20,f2_atr_14,f2_ret_skew_60,f2_ret_kurt_60,f2_rogers_satchell_20,z_f2_vol_10,z_f2_vol_20,z_f2_vol_60,z_f2_vol_of_vol_20,z_f2_parkinson_20,z_f2_garman_klass_20,z_f2_atr_14,z_f2_rogers_satchell_20
2020-01-03,es1s,0.07688679001346818,0.07025271742757896,0.07236892710884794,0.9707580343413679,0.11507936507936507,0.03554860048334362,0.07635007426250089,0.07847127556767869,21.53410848799875,-0.11873311711680394,-0.3217232644108756,0.07899386741292445,-0.7654642153874769,-0.9125432206128945,-1.0459935629990236,-0.1627163241843772,-0.9414896303772994,-0.9354067564941269,0.3575236863913152,-0.9265907704097691
2020-01-06,es1s,0.07576976707929037,0.07027640969309429,0.07077965988868926,0.9928899037324226,0.11904761904761904,0.03507806843653542,0.0796017480235766,0.08143525355213697,22.48860995385597,-0.1258418694143772,-0.20863520172594502,0.08163955589424104,-0.7755838211139785,-0.9121637250888506,-1.063074949369581,-0.17674451938806882,-0.9055520690123439,-0.9019898408969845,0.4718444479853865,-0.8967884738012614
2020-01-07,es1s,0.0750978707413184,0.06665696567716059,0.07027423305411247,0.9485264054868231,0.08333333333333333,0.03452916754965471,0.07844196083327049,0.08210999970498142,22.62560788786628,-0.06579666608051873,-0.18091021917272482,0.08290311605615037,-0.7816258178044275,-0.9473786041291832,-1.0683674452895378,-0.19311168627104458,-0.9181684680537594,-0.8942729219079241,0.4882077178126431,-0.8824843637576897
2020-01-08,es1s,0.08382821626071847,0.06755847736321155,0.06921106881341658,0.9761224399718462,0.0992063492063492,0.03375987059922411,0.09638247760123421,0.10385531290193001,26.315936405875824,-0.12186659574788011,-0.19637023156133449,0.10945581579705177,-0.7015778072935202,-0.9384115714259649,-1.0797206495190936,-0.21605750308655555,-0.720591675266634,-0.6500808526745154,0.9303027894159532,-0.584739062439487
2020-01-09,es1s,0.08539438443871843,0.06810179414144703,0.06918776139310055,0.9843040556626274,0.1111111111111111,0.03291943796324907,0.09545289308182058,0.10218948900583547,25.598444806884665,-0.18505241112049214,-0.1766719491090981,0.10744933148108647,-0.6871443092384492,-0.9329470512947469,-1.079765682778475,-0.2411265034421509,-0.730725339027369,-0.6686965419241647,0.8441899026360271,-0.6071610744458568
2020-01-10,es1s,0.08510949622083586,0.07089411770853661,0.0672512823365141,1.0541675228405962,0.1388888888888889,0.031801137143629275,0.09643397322791233,0.10333853670632073,25.375680582821463,-0.2357791137136653,-0.2703781236427113,0.10859971802889098,-0.6896637865139141,-0.9055101224020387,-1.1006069222080619,-0.27449072598609636,-0.7198285570555508,-0.6557132534882641,0.8173724042299598,-0.5941917933516863
2020-01-13,es1s,0.09018358261807553,0.07056576998134786,0.0680425031780165,1.0370836857181733,0.1388888888888889,0.030580144729779372,0.0939996679264383,0.10028322897837172,25.16882808976277,-0.2817057985237516,-0.2908819851830558,0.10570663998343358,-0.6431068802706759,-0.9085726141023032,-1.0917897954651905,-0.3109200740385339,-0.7465247108288662,-0.6899268764872641,0.7924676089466837,-0.62655379223788
2020-01-14,es1s,0.08505194379432109,0.07103938354372748,0.06816455211998852,1.0421748743933423,0.14682539682539683,0.029233624286806256,0.09311158690085494,0.09915874679438412,24.68619623906543,-0.24972263858017707,-0.3222579613095712,0.10461691510131815,-0.6900232056682092,-0.9037983261764891,-1.0902500831689055,-0.35109627119263087,-0.7561967732576476,-0.7024599068865229,0.7345234462464498,-0.6386936801166779
2020-01-15,es1s,0.08503613314820017,0.06827387226533196,0.06743512923295279,1.0124377760066532,0.11507936507936507,0.027824788296980357,0.09262704182094247,0.09921011561444071,24.222745747703605,-0.29396757752339675,-0.20531209041944917,0.10490984363751882,-0.6900781314986127,-0.9306751211908154,-1.0979660583578983,-0.3931313968944183,-0.7614251450848477,-0.7017905165276567,0.6788882420366905,-0.6353299888805861
2020-01-16,es1s,0.08156298271018823,0.07023568300337511,0.0676802440743998,1.0377575312253033,0.13095238095238096,0.026196140880248884,0.09359751046349506,0.09936352375537887,23.97590699072479,-0.2875223672799418,-0.22291576771277855,0.10471458284204957,-0.7217985420547082,-0.9113524860547817,-1.0950863183903574,-0.44172838265058445,-0.7506364317207918,-0.6999757043618035,0.6492200890401075,-0.6374405042931234
2020-01-17,es1s,0.06435298168816271,0.07022867931560911,0.06668450477696429,1.0531483970751347,0.13095238095238096,0.02453472283059516,0.09375646649943242,0.09952923466053423,23.13500581353016,-0.33935203706202155,-0.07004398698626807,0.10488408597720432,-0.8793272447261603,-0.9112735061948195,-1.1056946714913345,-0.4913004112539554,-0.7487829691104643,-0.6980231012424629,0.5483595817023291,-0.6354606915181076
2020-01-21,es1s,0.06804379200356524,0.07092473764823136,0.06690243694713996,1.0601218862067676,0.15873015873015872,0.022707763257328293,0.09399551831096663,0.10013005180018741,22.858816358278027,-0.2806778554404269,-0.1320705685612312,0.10566216534149882,-0.8453860088916679,-0.9043246052723672,-1.1031073698210356,-0.5458120679575061,-0.7460481702706547,-0.6911856182270675,0.5151935917688961,-0.6266569291164203
2020-01-22,es1s,0.06394654478857545,0.07038769024478164,0.06683457646744793,1.0531628083117168,0.14682539682539683,0.020654109644293636,0.09404826921265524,0.10054475011240628,22.587062376972465,-0.28720262767561755,-0.1178796373347897,0.10651492515612698,-0.882785342174838,-0.9094272450852234,-1.1036273719676304,-0.6070884530301652,-0.7453648840322158,-0.6864390872847964,0.48256223647992746,-0.6170169178692283
2020-01-23,es1s,0.05722085442268661,0.07030794701484108,0.06639845561190383,1.058879252038452,0.14682539682539683,0.018338069909529874,0.09526724608234448,0.10195791852117292,22.548812210760165,-0.26230654990406044,-0.06490092510169403,0.10835273563767663,-0.9442479887105838,-0.9100597357138371,-1.1081495510587203,-0.6761934415580922,-0.7318424411846995,-0.6704817412680412,0.4779245637910033,-0.5963310724498704
2020-01-24,es1s,0.0797530458853953,0.08084023276341473,0.06992580402021173,1.1560858526567424,0.30952380952380953,0.01561599812775262,0.10182148320381626,0.10819105473484868,24.39425251070587,-0.36171196527830846,0.08010548278411962,0.11363398675186938,-0.737707687970537,-0.8069894061044146,-1.0695940644150166,-0.7574143765034278,-0.6595816454126654,-0.6004009099127992,0.699100931096324,-0.5370275858981263
2020-01-27,es1s,0.11658617896703018,0.09999694198691075,0.07889339908216876,1.267494405745686,0.4722222222222222,0.013676233366504042,0.10397821907424229,0.10970173075690468,26.352553150655456,-0.8953170003968961,1.7427419492730574,0.11481723231860057,-0.40018816179900574,-0.619651912999933,-0.9719260715142799,-0.8152498130066234,-0.6357510275427737,-0.5833634656588412,0.9337574713914539,-0.5236947910585618
2020-01-28,es1s,0.126713558488718,0.10821559327511697,0.08176257417426193,1.323534567838768,0.5317460317460317,0.013582090104216014,0.10759836567677995,0.11143378334003584,27.299311564894335,-0.7242104163431135,1.5304027977203911,0.1154450902490536,-0.3073609011118166,-0.5392466589766012,-0.9405732680154933,-0.8179409177321311,-0.5958095455599258,-0.5638417499283004,1.0470865536582021,-0.5165931389221383
2020-01-29,es1s,0.12691141760020963,0.10702903852539658,0.08129668771262079,1.3165239757828535,0.5317460317460317,0.013516062175145352,0.1076088002321981,0.11172854962571921,27.031518578830465,-0.7444867128395053,1.6442418756048929,0.11584371610143221,-0.3055183343725441,-0.5507835296038417,-0.9454794706157927,-0.8197915464687836,-0.5956234038390517,-0.560465444786099,1.0147950256456897,-0.5120636599772698
2020-01-30,es1s,0.12982035525330862,0.10810075094134358,0.0801145921896286,1.3493266081349158,0.5357142857142857,0.013719097104363767,0.11249256286645842,0.117689728270557,28.495596191056876,-0.7949181853449204,1.7919462625418294,0.12307492993142945,-0.2788328832355169,-0.5402438011611017,-0.9581687055427903,-0.813604103389384,-0.5417684792012281,-0.49344137818272843,1.1900922389419493,-0.43088166971240044
