date,instrument,f1_mr_score_10,f1_dist_ma_sigma_10,f1_ret_reversal_10,f1_hilo_pos_10,f1_mr_score_20,f1_dist_ma_sigma_20,f1_ret_reversal_20,f1_hilo_pos_20,f1_mr_score_40,f1_dist_ma_sigma_40,f1_ret_reversal_40,f1_hilo_pos_40,f1_rsi_14,f1_bb_pctb_20,f1_bb_bandwidth_20
2020-01-03,es1s,1.4676543788277596,0.21992684691341902,-0.011267068180767836,0.502645502695193,0.47523776044370974,1.874641679764084,-0.037909626179586375,0.8285944994018597,0.4790635370876943,4.325462607158292,-0.05052502881115739,0.8690136439717728,64.67900848657821,0.7286001521305444,0.05120559087800273
2020-01-06,es1s,0.9404039098717301,0.5313009850063695,-0.009837033741675327,0.5633802817271949,0.5255281365043578,2.2361908154955668,-0.038211774433877466,0.871187030478862,0.26598094497733116,4.537118336870939,-0.05185587258480151,0.9082264769671168,66.2809147740935,0.7592334369484576,0.047380422101674376
2020-01-07,es1s,1.288194137254536,-0.0693327703260765,-0.0029407233708411695,0.33098591577787506,1.2072209755610912,1.504837965629083,-0.026644768665065044,0.802625288704273,0.8754541755463316,3.8540290599724174,-0.04590081936275503,0.8581175004096073,63.10257762586207,0.6848319391443807,0.045280493691797125
2020-01-08,es1s,-0.33334633867354896,1.5752162148219102,-0.01017349815051638,1.0,0.24784901054411482,2.8070066278761914,-0.03800457640430377,1.0,-0.2529382624362267,4.984463142387616,-0.05214135801790132,1.0,68.09529465230952,0.8351457218708619,0.04248792103343145
2020-01-09,es1s,-1.0905210655511284,2.3228453819954167,-0.015457684640409752,1.0,-0.20982555897361724,3.826074377796798,-0.042345432084839985,1.0,-0.8284023276148507,5.536130504520808,-0.05793183261884849,1.0,70.77801764612371,0.9271952695317156,0.039772701169354205
2020-01-10,es1s,-0.2884327650973641,1.5665341190840598,-0.006221935037768134,0.7857142857142922,1.1673602649415629,2.9336413921241,-0.03667580088317912,0.891602755523933,-0.006745149105103041,4.712014523571353,-0.05303542797393135,0.9378066050531454,66.47813532126193,0.8323383653031269,0.035061130349124496
2020-01-13,es1s,-1.6014891550772594,2.803206972554158,-0.016010147022640808,1.0,-0.27255825661000177,4.497379303590253,-0.036381468678647444,1.0,-1.0563820542429594,5.717144308354066,-0.05953249865165233,1.0,70.7331950306534,0.9979077026901678,0.035239369388113236
2020-01-14,es1s,-0.8137221417692143,2.209099415530843,-0.01981175142812397,0.9702127659972011,0.3423416216146579,3.983892054875705,-0.034587542003796656,0.9814323607670261,-0.7013857725568142,5.347289559296565,-0.058515944783866125,0.9910089211229131,70.06277413461694,0.9456392896121977,0.03421957265997056
2020-01-15,es1s,-0.6294604629295275,2.191468856055604,-0.019235046465001737,1.0,0.22169019781399948,4.098388700335365,-0.029344783396700436,1.0,-0.7964077039659203,5.479712537684001,-0.05342515486479549,1.0,71.03423162068464,0.9400426812896927,0.035295805048523234
2020-01-16,es1s,-1.5510261525789473,3.0079224105418483,-0.017489610129826083,1.0,-1.0524784964180576,5.288935521234074,-0.03716643987762591,1.0,-1.7031587938781454,6.308066791191465,-0.059186636552606586,1.0,74.55268963154938,1.0465460953215986,0.03776829398713309
2020-01-17,es1s,-1.2443384034682585,2.975415008693093,-0.02728619859256387,1.0,-1.1266885143784,5.268244597900533,-0.03855326677333171,1.0,-1.7915050231049465,6.262989184970005,-0.06278792570562697,1.0,75.73847899637879,1.0300811364151536,0.04014823846539847
2020-01-21,es1s,-0.25565263882196826,2.3314234365063697,-0.023161175507037335,0.9387186629675025,-0.31463152751158224,4.46916862851757,-0.03299820924871266,0.9458128079010396,-1.204922394028035,5.618761596167451,-0.06418340668128852,0.9760752412774174,73.35652769919116,0.9305842151865397,0.04159016331401104
