feature,coef_abs,coef_signed
f5_signal,0.4151004780050759,0.4151004780050759
f5_long_bias_20,0.2735456863173968,-0.2735456863173968
f1_dist_ma_sigma_10,0.24763299508070719,0.24763299508070719
f1_ret_reversal_40,0.23603857764171404,0.23603857764171404
f12_mra_energy_D1,0.23009203203523676,0.23009203203523676
f5_trailing_run_length,0.2097191127491281,0.2097191127491281
f13_prob_timeout,0.18993710119201307,-0.18993710119201307
f5_sign_agree_mr,0.16172849939831893,0.16172849939831893
f8_month_sin,0.1540764338431942,0.1540764338431942
f11_baltic_5d_change,0.14422749451596925,-0.14422749451596925
hmm_vol_entropy,0.1412370485855577,0.1412370485855577
f11_ust_10y_5d_change,0.1321414509232937,0.1321414509232937
f11_move_z,0.1305913279219399,0.1305913279219399
f11_move_vix_ratio,0.12685627271081093,-0.12685627271081093
f10_hl_range,0.11818910265276453,0.11818910265276453
f11_crude_stock_surprise,0.11800613089825358,0.11800613089825358
f1_bb_bandwidth_20,0.11783428923698384,0.11783428923698384
f11_be_5d_change,0.10466255630553771,-0.10466255630553771
hmm_vol_p2_turbulent,0.09840583693456063,-0.09840583693456063
f12_mra_energy_D5,0.09790606278275824,-0.09790606278275824
f6_ma_cross_20_60,0.09658300270408691,-0.09658300270408691
f15_ewma_implied_corr_z,0.09491545231094795,-0.09491545231094795
f1_bb_pctb_20,0.08390049899966404,-0.08390049899966404
f11_dxy_z,0.07320422394403302,0.07320422394403302
f7_volume_z_20,0.07189817228787006,0.07189817228787006
f11_ust_bund_spread,0.07124861509977247,-0.07124861509977247
f11_real_yield_10y,0.069992004144611,0.069992004144611
f7_oi_z_20,0.06890040579781267,-0.06890040579781267
f12_mra_energy_D3,0.0663618585773456,-0.0663618585773456
f1_mr_score_10,0.06046494503271437,0.06046494503271437
f11_baltic_dry_z,0.05929385832479966,0.05929385832479966
f2_ret_skew_60,0.05868778764590645,0.05868778764590645
f8_dow_sin,0.05801503032536835,0.05801503032536835
f11_bund_10y_5d_change,0.056660057806495856,-0.056660057806495856
f11_ism_pmi_3m_change,0.055152330949832566,0.055152330949832566
hmm_macro_entropy,0.05047612488604374,-0.05047612488604374
f2_vol_10,0.04804170793386005,0.04804170793386005
f12_mra_energy_D4,0.04775268265028929,-0.04775268265028929
f11_dxy_5d_change,0.046636011663287576,0.046636011663287576
f11_hy_ig_ratio,0.04614833251372832,0.04614833251372832
f11_gasoline_stock_surprise,0.04331226572239041,0.04331226572239041
f13_expected_hit_time,0.04041371927371814,-0.04041371927371814
f7_oi_change,0.0397786274779656,-0.0397786274779656
f6_adx_14,0.03912415890057034,-0.03912415890057034
f11_hy_oas_z,0.03842120263145934,0.03842120263145934
f11_eurusd_5d_change,0.037450838071753534,-0.037450838071753534
f7_oi_price_div_20,0.03594713656122636,-0.03594713656122636
f11_vix_5d_change,0.035345378884065505,0.035345378884065505
f13_path_tortuosity_20d,0.029736114424364,-0.029736114424364
f11_skew_z,0.029727554347291345,0.029727554347291345
f1_dist_ma_sigma_40,0.026931443877545876,0.026931443877545876
f6_ts_momentum_20,0.026466070600185056,0.026466070600185056
f11_ism_pmi_level,0.026207139557083377,0.026207139557083377
f1_hilo_pos_20,0.025969998643678136,-0.025969998643678136
f2_vol_pctile_20,0.02594753103493428,-0.02594753103493428
f4_pc3,0.02386068370240187,0.02386068370240187
f2_atr_14,0.02380289588055031,0.02380289588055031
f11_copper_stock_z,0.022635707708718665,0.022635707708718665
f2_vol_60,0.021188868449556815,0.021188868449556815
f10_oto_ret,0.020870837458504442,-0.020870837458504442
f11_dist_stock_surprise,0.02045209860207703,0.02045209860207703
f12_mra_energy_D2,0.020062657954280878,-0.020062657954280878
f11_vix_level_z,0.019334558157278362,0.019334558157278362
f4_pc2,0.018709576826642756,0.018709576826642756
f2_parkinson_20,0.018490438879184452,0.018490438879184452
f8_month_cos,0.017831745427181363,-0.017831745427181363
f6_macd_hist_12_26_9,0.017528192597134267,0.017528192597134267
f11_ig_oas_z,0.01682102756835854,0.01682102756835854
hmm_vol_p0_calm,0.016154921216411097,-0.016154921216411097
f2_vol_20,0.015838064026281035,0.015838064026281035
hmm_macro_p0,0.015134264997984766,-0.015134264997984766
f6_macd_12_26,0.014860089443081618,-0.014860089443081618
f1_mr_score_20,0.014715820559197085,0.014715820559197085
f11_global_pmi_breadth,0.014017839855368643,0.014017839855368643
f13_realized_semi_vol_ratio,0.013358925296716817,0.013358925296716817
f7_oi_level,0.01268646561522444,0.01268646561522444
f4_pc1,0.012340030585344554,-0.012340030585344554
f1_ret_reversal_20,0.010265860168708214,0.010265860168708214
f11_breakeven_10y,0.010117494105586244,-0.010117494105586244
f10_oto_ret_mean_20,0.01010755988237373,0.01010755988237373
f11_hy_oas_5d_change,0.009598391389652636,-0.009598391389652636
f1_hilo_pos_40,0.00921411588602235,-0.00921411588602235
f1_dist_ma_sigma_20,0.009132022251098614,0.009132022251098614
f1_mr_score_40,0.00881040788222926,-0.00881040788222926
f2_ret_kurt_60,0.008093307601120817,-0.008093307601120817
f1_ret_reversal_10,0.008087185740545481,-0.008087185740545481
f2_vol_ratio_20_60,0.00732069579662671,0.00732069579662671
f8_dow_cos,0.007067464737810749,-0.007067464737810749
f6_ts_momentum_60,0.006752171689827875,0.006752171689827875
f1_rsi_14,0.006511527502975414,-0.006511527502975414
f4_pc4,0.005909402632074254,-0.005909402632074254
f11_china_pmi_level,0.0053297744399975365,-0.0053297744399975365
f7_volume_trend_20,0.005280548683629077,0.005280548683629077
f15_asset_class_dispersion_z,0.004283894103425238,-0.004283894103425238
f5_participation_20,0.0034025453753943574,0.0034025453753943574
f11_us_2s10s_slope,0.003011241884545764,-0.003011241884545764
f2_vol_of_vol_20,0.0027667773514334112,0.0027667773514334112
f1_hilo_pos_10,0.002553066114740312,0.002553066114740312
f11_ng_stock_surprise,0.00247175426806328,0.00247175426806328
f11_vix_term_slope,0.0006014152590735703,-0.0006014152590735703
