cluster,mean_drop,std_drop,significant
F5_signal,0.0652007595273324,0.04091284882064693,True
C10_f12,0.01991278743893341,0.025659272662777566,False
C13_f7,0.007406010369497682,0.008141889406253072,False
C3_f6,0.007188596850844843,0.017424910152095317,False
C1_f2,0.006460484275435001,0.021691674706651076,False
C6_f11,0.005942813605415042,0.012994750118297267,False
C4_f11,0.004718683485550843,0.009860146238479132,False
C8_f11,0.004361089588159778,0.015148830514260454,False
C5_f11,0.0017484565659433313,0.013081769623810913,False
C12_f11_lowfreq_macro,0.001689667108624604,0.01140172135078902,False
C11_f11_lowfreq_macro,0.001011105704018616,0.006834420147688645,False
C2_f1,0.00012892460433980857,0.005942704005896078,False
C7_f7,-0.0007164530193479668,0.006607713929894442,False
F4_latent,-0.0017192775581475917,0.005618882971794303,False
F8_calendar,-0.0017607552335621318,0.005236416760779316,False
C9_f12,-0.004555719861285745,0.009733741344044205,False
C15_f11,-0.005248297236247731,0.019954206656141636,False
C14_f11_lowfreq_macro,-0.00950923455905695,0.016435968429915775,False
