feature,cluster,mean_shap_mag,pc1_loading,pca_pc1_var_explained,pc2_loading,pca_pc2_var_explained,pc3_loading,pca_pc3_var_explained
f1_dist_ma_sigma_10,C2_f1,0.002392136055742713,0.3009213428116612,0.7504245633543851,0.04290719952721867,0.09169422619264675,-0.2696562318178741,0.06872759446390259
f1_ret_reversal_10,C2_f1,0.0009617365778387583,-0.2575115279992766,0.7504245633543851,-0.3715588192774474,0.09169422619264675,-0.4656206826914147,0.06872759446390259
f1_hilo_pos_10,C2_f1,0.001384109799584712,0.2898729815279671,0.7504245633543851,0.04763948998724402,0.09169422619264675,-0.3837048740202235,0.06872759446390259
f1_mr_score_20,C2_f1,0.0017542238910144429,-0.2563979571907454,0.7504245633543851,-0.34131879927755515,0.09169422619264675,0.48960872543693057,0.06872759446390259
f1_dist_ma_sigma_20,C2_f1,0.001109874161921909,0.31375773760817927,0.7504245633543851,-0.1542320570417096,0.09169422619264675,-0.030128695007364772,0.06872759446390259
f1_hilo_pos_20,C2_f1,0.0014153602548363554,0.31576099160415605,0.7504245633543851,-0.09626603414073569,0.09169422619264675,-0.13833769364223175,0.06872759446390259
f1_mr_score_40,C2_f1,0.0012284671588596752,-0.2784804742302592,0.7504245633543851,-0.12267279232945108,0.09169422619264675,-0.07600230837350894,0.06872759446390259
f1_dist_ma_sigma_40,C2_f1,0.0024999818745582167,0.2873033772688749,0.7504245633543851,-0.3822294649020018,0.09169422619264675,0.2478245365493687,0.06872759446390259
f1_hilo_pos_40,C2_f1,0.00456656905876099,0.28675109459839937,0.7504245633543851,-0.3901689029005757,0.09169422619264675,0.160121718340995,0.06872759446390259
f1_rsi_14,C2_f1,0.002502899322668843,0.30926640508688186,0.7504245633543851,-0.19695750894501382,0.09169422619264675,0.2745346962986252,0.06872759446390259
f1_bb_pctb_20,C2_f1,0.0013291385432402838,0.32039512209339577,0.7504245633543851,-0.0663373129448087,0.09169422619264675,-0.15576590916551902,0.06872759446390259
f6_macd_hist_12_26_9,C2_f1,0.001401292633300473,0.2336652302782012,0.7504245633543851,0.5930494461041885,0.09169422619264675,0.3332072507725375,0.06872759446390259
