family,model,oof_auc,oof_f1,oof_brier,test_auc,test_precision,test_recall,test_f1
linear,LogReg,0.5485893445097841,0.7872137404580153,0.22279450912852966,0.48267716064518834,0.6948198198198198,1.0,0.8199335548172757
tree,XGB,0.5532638219915362,0.7908074925232174,0.22330003774030296,0.498014437194615,0.6948198198198198,1.0,0.8199335548172757
neural,MLP,0.5622516810206419,0.7889672867222579,0.22256958042520528,0.49061941186672814,0.6934023285899095,0.8687196110210696,0.7712230215827338
