feature,cluster_id,max_corr_partner,max_abs_corr
f13_mra_energy_d2,21,f13_mra_energy_d1,0.586759972996373
f13_mra_energy_d3,22,f13_mra_energy_d1,0.4521115684868148
f13_mra_energy_d4,32,f13_mra_energy_d1,0.42264145505453
f13_mra_energy_d5,61,f11_spread_credit_diff_level,0.4886322695424437
f15_expected_hit_time,50,z_f15_expected_hit_time,0.993965875345128
f15_prob_timeout,50,f2_vol_pctile_20,0.918727866417323
f15_path_tortuosity_20,4,z_f15_path_tortuosity_20,0.3410858260454182
f15_realized_semi_vol_ratio_20,80,z_f15_realized_semi_vol_ratio_20,0.9921740503282646
f5_signal_entropy_20,12,f5_trailing_run_length,0.645171210934783
f5_flip_rate_60,14,f5_signal_entropy_20,0.5479167398646827
f16_regime_alignment_score,19,f5_participation_60,0.22903648817818434
f11_vix_level,59,f11_hy_oas_level,0.8175252141422263
f11_vix_chg5,44,f11_spread_vix_term_chg5,0.6932877227319001
f11_vix_chg20,74,f11_spread_vix_term_chg20,0.8192664377830087
f11_move_level,100,f11_2y_ust_level,0.8034692264866158
f11_move_chg5,46,f11_move_chg20,0.4748727846981002
f11_move_chg20,75,f11_vix_chg20,0.6421488786988948
f11_dxy_level,98,f11_tips10y_level,0.8075811800307999
f11_dxy_chg5,95,f11_hy_oas_chg5,0.5017125116808407
f11_dxy_chg20,96,f11_eia_crude_stock_level,0.5011671228559966
f11_10y_ust_level,100,f11_2y_ust_level,0.8725186546255088
f11_10y_ust_chg5,89,f11_2y_ust_chg5,0.70244872524341
f11_10y_ust_chg20,91,f11_2y_ust_chg20,0.786463526097162
f11_2y_ust_level,100,f11_10y_ust_level,0.8725186546255088
f11_2y_ust_chg5,89,f11_10y_ust_chg5,0.70244872524341
f11_2y_ust_chg20,91,f11_10y_ust_chg20,0.786463526097162
f11_hy_oas_level,59,f11_spread_credit_diff_level,0.993563409133464
f11_hy_oas_chg5,73,f11_spread_credit_diff_chg5,0.9736648621716942
f11_hy_oas_chg20,69,f11_spread_credit_diff_chg20,0.9895108613243806
f11_be10y_level,60,f11_spread_credit_diff_level,0.8196665464682391
f11_be10y_chg5,47,f11_tips10y_chg5,0.5344340617683583
f11_be10y_chg20,70,f11_spread_credit_diff_chg20,0.6773805053739957
f11_tips10y_level,98,f11_dxy_level,0.8075811800307998
f11_tips10y_chg5,90,f11_10y_ust_chg5,0.6840424234389315
f11_tips10y_chg20,92,f11_10y_ust_chg20,0.6336227782986164
f11_eia_crude_stock_level,101,f11_10y_ust_level,0.7308240387937869
f11_eia_crude_stock_chg5,48,f11_eia_crude_stock_chg20,0.6480852852136002
f11_eia_crude_stock_chg20,49,f11_eia_crude_stock_chg5,0.6480852852136002
f11_eia_ng_stock_level,97,f8_month_sin,0.8935376235144452
f11_eia_ng_stock_chg5,36,f11_eia_ng_stock_chg20,0.9257988041421854
f11_eia_ng_stock_chg20,36,f11_eia_ng_stock_chg5,0.9257988041421855
f11_us_ism_mfg_pmi_level,60,f11_spread_credit_diff_level,0.7725154371540477
f11_us_ism_mfg_pmi_chg21,93,f11_us_ism_mfg_pmi_chg63,0.5116382487388779
f11_us_ism_mfg_pmi_chg63,94,f11_us_ism_mfg_pmi_chg21,0.5116382487388779
f11_china_pmi_mfg_level,69,f11_hy_oas_chg20,0.7450269707898729
f11_china_pmi_mfg_chg21,76,f11_china_pmi_mfg_level,0.7045138507778843
f11_china_pmi_mfg_chg63,71,f11_china_pmi_mfg_level,0.6940359387240994
f11_spread_vix_term_level,72,f11_vix_level,0.7723484854688777
f11_spread_vix_term_chg5,45,f11_vix_chg5,0.6932877227319001
f11_spread_vix_term_chg20,74,f11_vix_chg20,0.8192664377830087
f11_spread_curve_slope_level,99,f11_dxy_level,0.7618394961173212
f11_spread_curve_slope_chg5,87,f11_spread_curve_slope_chg20,0.5541223347387169
f11_spread_curve_slope_chg20,88,f11_spread_curve_slope_chg5,0.5541223347387169
f11_spread_credit_diff_level,59,f11_hy_oas_level,0.9935634091334639
f11_spread_credit_diff_chg5,73,f11_hy_oas_chg5,0.9736648621716941
f11_spread_credit_diff_chg20,69,f11_hy_oas_chg20,0.9895108613243806
