instrument,pt,sl,h,adj_sharpe
cl1s,1.5,0.25,15,9.6382
es1s,1.0,0.25,10,13.1274
fesx1s,0.75,0.25,5,14.8825
gc1s,1.0,0.25,15,15.3377
hg1s,1.0,0.25,10,19.8823
ho1s,2.0,0.25,5,18.4201
ng1s,0.5,0.25,5,26.1418
nq1s,1.0,0.25,10,15.2271
pl1s,1.0,0.25,10,18.8334
rb1s,2.5,0.25,15,10.8949
si1s,0.75,0.25,20,16.1693
