K,silhouette,calinski_harabasz,davies_bouldin
3,0.11207409550652167,0.32109215337758557,6.2701134825058285
4,0.12078095052999356,0.48542169506244354,5.302599700164059
5,0.13103425769345042,1.1564755087321916,7.690004287841697
6,0.12202485063808433,0.9141663547317953,7.327302283960026
7,0.12186500065476716,0.7526269593360793,4.954978287467327
8,0.1113967359053513,0.6372416472870539,5.828084779064273
9,0.12038378373541943,1.8796725563793075,5.42332627388968
10,0.12375916873215036,1.6499348353036685,6.55195438535493
11,0.1347547928116104,1.466145201910952,6.306122890881687
12,0.14595764396950384,3.4149934243506768,6.253572748715499
13,0.1670630884161564,3.089755955648093,5.861273758905122
14,0.18033731769785588,2.81455504124017,5.392468997163788
15,0.186882575624842,2.578668524004093,5.159212242271324
