scope,members,pool_size,instrument,asset_class,model,variant,n_modelling,n_oos,mean_auc,sem,std_auc,lower_ci_1se,skipped,reason,elapsed_s
ng_separate,ng1s,1,ng1s,energy,elasticnet_logistic,without_bbg,30,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
ng_separate,ng1s,1,ng1s,energy,random_forest,without_bbg,30,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
ng_separate,ng1s,1,ng1s,energy,xgboost,without_bbg,30,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
ng_separate,ng1s,1,ng1s,energy,lightgbm,without_bbg,30,0,,,,,True,individual pool < MIN_INDIVIDUAL_EVENTS=250,0.000000
cl_ho,cl1s+ho1s,2,cl1s,energy,elasticnet_logistic,without_bbg,330,1369,0.602666,0.045309,0.169532,0.557357,False,,0.540000
cl_ho,cl1s+ho1s,2,cl1s,energy,random_forest,without_bbg,330,1369,0.566129,0.021045,0.078742,0.545085,False,,1.190000
cl_ho,cl1s+ho1s,2,cl1s,energy,xgboost,without_bbg,330,1369,0.641197,0.025230,0.094404,0.615967,False,,0.380000
cl_ho,cl1s+ho1s,2,cl1s,energy,lightgbm,without_bbg,330,1369,0.629737,0.026835,0.100408,0.602902,False,,0.470000
cl_ho,cl1s+ho1s,2,ho1s,energy,elasticnet_logistic,without_bbg,330,171,0.582842,0.036040,0.134850,0.546802,False,,0.540000
cl_ho,cl1s+ho1s,2,ho1s,energy,random_forest,without_bbg,330,171,0.405022,0.061673,0.230761,0.343349,False,,1.190000
cl_ho,cl1s+ho1s,2,ho1s,energy,xgboost,without_bbg,330,171,0.541798,0.055219,0.206611,0.486579,False,,0.370000
cl_ho,cl1s+ho1s,2,ho1s,energy,lightgbm,without_bbg,330,171,0.506534,0.052471,0.196330,0.454063,False,,0.480000
cl_rb,cl1s+rb1s,2,cl1s,energy,elasticnet_logistic,without_bbg,738,1368,0.542358,0.041208,0.154187,0.501150,False,,1.680000
cl_rb,cl1s+rb1s,2,cl1s,energy,random_forest,without_bbg,738,1368,0.561646,0.034082,0.127523,0.527564,False,,1.700000
cl_rb,cl1s+rb1s,2,cl1s,energy,xgboost,without_bbg,738,1368,0.604530,0.026933,0.100774,0.577597,False,,0.580000
cl_rb,cl1s+rb1s,2,cl1s,energy,lightgbm,without_bbg,738,1368,0.602224,0.022384,0.083754,0.579839,False,,1.140000
cl_rb,cl1s+rb1s,2,rb1s,energy,elasticnet_logistic,without_bbg,738,2076,0.460098,0.020336,0.076091,0.439762,False,,1.690000
cl_rb,cl1s+rb1s,2,rb1s,energy,random_forest,without_bbg,738,2076,0.574769,0.024131,0.090288,0.550638,False,,1.700000
cl_rb,cl1s+rb1s,2,rb1s,energy,xgboost,without_bbg,738,2076,0.516294,0.017681,0.066157,0.498613,False,,0.570000
cl_rb,cl1s+rb1s,2,rb1s,energy,lightgbm,without_bbg,738,2076,0.543683,0.014814,0.055430,0.528869,False,,1.150000
ho_rb,ho1s+rb1s,2,ho1s,energy,elasticnet_logistic,without_bbg,480,168,0.662153,0.044530,0.166617,0.617622,False,,0.860000
ho_rb,ho1s+rb1s,2,ho1s,energy,random_forest,without_bbg,480,168,0.565102,0.054744,0.204834,0.510358,False,,1.380000
ho_rb,ho1s+rb1s,2,ho1s,energy,xgboost,without_bbg,480,168,0.573017,0.041990,0.157111,0.531028,False,,0.480000
ho_rb,ho1s+rb1s,2,ho1s,energy,lightgbm,without_bbg,480,168,0.611954,0.068757,0.257265,0.543197,False,,0.740000
ho_rb,ho1s+rb1s,2,rb1s,energy,elasticnet_logistic,without_bbg,480,2072,0.495026,0.018508,0.069249,0.476518,False,,0.860000
ho_rb,ho1s+rb1s,2,rb1s,energy,random_forest,without_bbg,480,2072,0.499976,0.017202,0.064362,0.482774,False,,1.380000
ho_rb,ho1s+rb1s,2,rb1s,energy,xgboost,without_bbg,480,2072,0.491039,0.014330,0.053618,0.476709,False,,0.490000
ho_rb,ho1s+rb1s,2,rb1s,energy,lightgbm,without_bbg,480,2072,0.508283,0.017268,0.064609,0.491015,False,,0.740000
equity_all,es1s+nq1s+fesx1s,3,es1s,equity,elasticnet_logistic,without_bbg,1277,1889,0.544258,0.019073,0.071366,0.525185,False,,2.690000
equity_all,es1s+nq1s+fesx1s,3,es1s,equity,random_forest,without_bbg,1277,1889,0.578245,0.017713,0.066276,0.560532,False,,2.460000
equity_all,es1s+nq1s+fesx1s,3,es1s,equity,xgboost,without_bbg,1277,1889,0.574788,0.013946,0.052181,0.560842,False,,0.720000
equity_all,es1s+nq1s+fesx1s,3,es1s,equity,lightgbm,without_bbg,1277,1889,0.573955,0.017173,0.064256,0.556781,False,,2.130000
equity_all,es1s+nq1s+fesx1s,3,nq1s,equity,elasticnet_logistic,without_bbg,1277,1968,0.527426,0.018567,0.069470,0.508860,False,,2.690000
equity_all,es1s+nq1s+fesx1s,3,nq1s,equity,random_forest,without_bbg,1277,1968,0.530170,0.010422,0.038997,0.519748,False,,2.450000
equity_all,es1s+nq1s+fesx1s,3,nq1s,equity,xgboost,without_bbg,1277,1968,0.548662,0.015351,0.057436,0.533311,False,,0.720000
