feature,pfi_mean,pfi_std,mdi_mean,shap_signed,shap_magnitude
f1_mr_score_10,0.0018460890960891273,0.0051964895030629,0.01609416198678044,-0.0006762523023661199,0.0032078286850321493
f1_dist_ma_sigma_10,0.0007941250107916942,0.0030580494625470195,0.009382083988843723,9.688862797073558e-05,0.001857466368441452
f1_ret_reversal_10,0.006927326068992779,0.0049199065547533855,0.0240352524913534,-0.0009105949043893182,0.0055537133954286335
f1_hilo_pos_10,0.0016626259542926436,0.0031571856381645584,0.012189259947820247,0.00030558468877021005,0.0025350099739618014
f1_mr_score_20,0.00030055931722600804,0.004107932407673563,0.008202309071411519,0.0001405983301974481,0.001608795848605083
f1_dist_ma_sigma_20,-0.0026930282680282525,0.0058739080587284515,0.009858614980871991,0.0005443461681747294,0.002266758030123087
f1_ret_reversal_20,0.0004324730824730983,0.0018604917274490551,0.004733511602478471,-0.0005232497480305773,0.0011481904528643932
f1_hilo_pos_20,-0.001175914209247515,0.0065602671869136745,0.011882545321968096,0.0009804494064581527,0.0029584520394142855
f1_mr_score_40,0.0021731956315289994,0.004336141151001335,0.018836364975222314,4.1519364899905885e-05,0.0045421114907184396
f1_dist_ma_sigma_40,0.00016617641617642912,0.003158194714139206,0.006497506559533926,0.0007528883860110916,0.0016256540388640678
f1_ret_reversal_40,-0.0005740346073679303,0.0014848644116457828,0.004291798438446823,6.650887337505615e-05,0.0009748498231516058
f1_hilo_pos_40,-0.0014114582947916208,0.003133913645219821,0.007367491924050645,0.00011682424996570131,0.001776508032229562
f1_rsi_14,-0.0009054639804639596,0.003126796665137461,0.007773489918581893,0.0008409700614343278,0.0018817623613581135
f1_bb_bandwidth_20,-0.0005105783105782834,0.0042282200665820615,0.0067457224799117215,0.0003507645633380449,0.001491884612441258
f2_vol_10,-0.0007531850865183931,0.003901132642437582,0.010548923227284738,0.0002770939362123004,0.0020127562249221184
f2_vol_20,-0.0010076617826617785,0.0028452022532360686,0.006582825673731965,0.0005766467666457303,0.0012459231788453842
f2_vol_60,0.000618122926456276,0.0010996558733899864,0.0083799220114195,-0.00019384283826809557,0.0013013131117816502
f2_vol_ratio_20_60,-0.00045811441644772794,0.00234433817568851,0.0035794342155129237,-0.0001472394282300797,0.000807327075617347
f2_vol_pctile_20,0.0021517467100800637,0.005428769845132266,0.004961980599966687,-7.886288112758832e-05,0.0012347605982452859
f2_vol_of_vol_20,0.0002700968784302369,0.005350283680147074,0.018568231999735788,-0.001552203124968714,0.003703727877889929
f2_parkinson_20,0.00032826278659611854,0.0018157704460043914,0.006447315600763719,0.0006887779475368008,0.0011013551685619028
