cluster,MDA_mean,MDA_std,MDI,SHAP_mag
C9_f7,0.08825995353639865,0.08314465919867954,0.0998442066788247,0.0
C5_f11,0.04057621403507883,0.050272539972060916,0.10973325879416937,0.0
C4_f11,0.014997432197320585,0.03560259297094987,0.07547149172878148,0.0
F4_latent,0.011741079247644627,0.04438280996293305,0.06682730943758577,0.0
C14_f6,0.009143376723151242,0.04393777468758759,0.06665767696273275,0.0
C12_f11,0.0019952866736266507,0.033174030327672625,0.06992655470102516,0.0
F8_calendar,0.0001670843776106971,0.0006471150118976612,0.0025555555555555553,0.0
C1_f1,-0.002313032210390202,0.0070404309759382385,0.02058900266571098,0.0
C15_f11_lowfreq_macro,-0.003002609661689193,0.006052067028987334,0.006548543011203308,0.0
C10_f7,-0.00463308460707681,0.011262548978351421,0.022402597502690278,0.0
C7_f11_lowfreq_macro,-0.005637683923314744,0.016630239916889097,0.01985423368275631,0.0
C13_f11,-0.006357469144815471,0.022338721327806423,0.017142625653060656,0.0
F5_signal,-0.008277853478586172,0.020150901536698188,0.015906606666493253,0.0
C11_f2,-0.009664235826972931,0.03295601128261856,0.04234296052878765,0.0
C3_f11,-0.011553953427335546,0.03119214439822745,0.09802314044673127,0.0
C6_f11,-0.02510431892517173,0.04858164598928025,0.06773547322391105,0.0
C8_f11_lowfreq_macro,-0.027646849221569677,0.05138142618519861,0.07978533312579075,0.0
C2_f1,-0.038278633427586826,0.07288517642859262,0.11865342963418968,0.0
