feature,pfi_mean,pfi_std,mdi_mean,shap_signed,shap_magnitude
f1_mr_score_10,-0.006505213539756484,0.016284595631110135,0.009098580000472319,-4.567437651230406e-05,0.002009882401922942
f1_dist_ma_sigma_10,-0.0011508824015311098,0.006651034214788768,0.008845233150202981,0.00015293174506140626,0.0019034786748545582
f1_ret_reversal_10,0.002035806423202357,0.0048041197619847174,0.00421679040159725,5.0503718088729315e-05,0.0011239191293413988
f1_hilo_pos_10,-0.002127083151815823,0.007833952264847333,0.006562551774252917,0.00028653718242132415,0.0016293815641258986
f1_mr_score_20,-0.0018173770149123992,0.0026071957718800795,0.00554480652960721,8.610073967041993e-06,0.0013152162379653492
f1_dist_ma_sigma_20,-0.0006082603646516728,0.006383985106255606,0.005937512484218118,0.0005367527449109044,0.0014635257158044325
f1_ret_reversal_20,-0.0018185955434299756,0.005260888968160709,0.006468864596554456,0.0002117563601913737,0.0017402109981167612
f1_hilo_pos_20,0.0009740004271683346,0.00533470624710565,0.00809324761985474,0.0006847318330009012,0.0019335888231097106
f1_mr_score_40,-0.0016092619130900743,0.003492192582920119,0.009125867006027407,0.0006799408979693367,0.0022116655664512737
f1_dist_ma_sigma_40,-0.0007430358639540808,0.0013475988531255032,0.0042114053666408805,0.0004278312332345882,0.0011810325988167666
f1_ret_reversal_40,-0.0004889540094857216,0.008423088934708764,0.010326112392084254,0.0009607988911345379,0.0030523239385286836
f1_hilo_pos_40,-0.001286645054152608,0.005417617683890135,0.008583047224007762,0.0011873338944662472,0.002624107126525146
f1_rsi_14,0.0012855799296619282,0.005369434242966133,0.007329922482586603,-4.440275379745956e-05,0.0013779249963678428
f1_bb_pctb_20,-0.0012056849105948437,0.0027785968940575597,0.005840590179931044,0.00039214226254511775,0.0011067673018001528
f1_bb_bandwidth_20,-0.0017915285359442062,0.008903313344604554,0.010946035464278605,0.0008646145008110491,0.002464140360988382
f2_vol_10,-0.0015175117848098862,0.007664018857244061,0.011274575746193215,0.0005078285127932534,0.0024316531305131903
f2_vol_20,0.0006723379923760464,0.002991058777796695,0.006873579172257537,0.0006056251543990315,0.001871338758503301
f2_vol_60,-0.0001991230659312016,0.003639847579756528,0.005747292601062644,3.5114500422358346e-05,0.0014898786519752193
f2_vol_ratio_20_60,0.0006384807207817548,0.0035124445198672855,0.00436481258066522,0.00012263616665821915,0.0010826780293053861
f2_vol_pctile_20,0.00022801286199595987,0.002362818895635861,0.007913685457010787,-0.00023062242887457912,0.001971036011503631
f2_vol_of_vol_20,0.0005540957601660567,0.004397921655157695,0.010922367065360566,0.0010011867196392675,0.0030033130421285126
f2_parkinson_20,0.0018613195547254944,0.003096542966071941,0.006985561837684473,0.0007149167422322828,0.00214375808901888
f2_garman_klass_20,0.004253540516094839,0.006110318680091344,0.010273459277733288,0.0013482084297558165,0.0033018784923375686
f2_atr_14,-0.0010743254944573987,0.002554706963438459,0.00429189393760871,0.0003886083092840378,0.0010825834588311476
f2_ret_skew_60,0.004863257967410629,0.0042955327028124735,0.02145183999384208,-0.002095375668403586,0.00503781966863715
f2_ret_kurt_60,0.0009904932805166063,0.0037795238045355245,0.02037798956863738,-0.0024016903274799183,0.005026151339528726
f6_ts_momentum_20,0.002268668856639718,0.007689251768776156,0.01008603190176609,0.0009460246459605524,0.0026818049655057954
f6_ts_momentum_60,9.568042474406352e-05,0.0038451629845893277,0.008696181752349232,-0.000554646211038134,0.002160318055158087
