K,silhouette,calinski_harabasz,davies_bouldin
3,0.14145054113728905,0.40932287658553723,4.498424703396929
4,0.16048623322618322,0.5445454536067149,5.561256035793814
5,0.1604152079618561,0.5821834084233739,5.243261628809859
6,0.1204450409748638,0.46013532267245233,5.674006161182397
7,0.12896824987374927,0.8691198011787401,5.236324979834991
8,0.13952505030043783,2.6803020760930316,4.888634564174145
9,0.15111215638979356,2.315948512649279,4.558471618105597
10,0.15620742786505964,2.032562625041027,4.353771464928288
11,0.1708918331742359,3.694851293000364,4.121631495556579
12,0.1774314943857635,3.315332919356688,4.00731540484554
13,0.17110575574736314,2.999067609114917,4.032839657068989
14,0.17509810987666202,2.7314584994151874,3.896971229245499
15,0.1769140884203648,2.502079262574468,3.7898442426947083
